ano,delito5,nacionalidad,valor
2011,5.2.2.-robos con fuerza en viviendas,extranjeros,3654
2011,5.2.2.-robos con fuerza en viviendas,total,11082
2011,5.2.3.-robos con fuerza en establecimientos,espanoles,6961
2011,5.2.3.-robos con fuerza en establecimientos,extranjeros,3103
2011,5.2.3.-robos con fuerza en establecimientos,total,10064
2011,5.3.-robos con violencia o intimidacion,espanoles,16261
2011,5.3.-robos con violencia o intimidacion,extranjeros,6814
2011,5.3.-robos con violencia o intimidacion,total,23075
2011,5.3.1.-robos con violencia en via publica,espanoles,6176
2011,5.3.1.-robos con violencia en via publica,extranjeros,4276
2011,5.3.1.-robos con violencia en via publica,total,10452
2011,5.3.2.-robos con violencia en viviendas,espanoles,876
2011,5.3.2.-robos con violencia en viviendas,extranjeros,581
2011,5.3.2.-robos con violencia en viviendas,total,1457
2011,5.3.3.-robos con violencia en establecimientos,espanoles,2457
2011,5.3.3.-robos con violencia en establecimientos,extranjeros,882
2011,5.3.3.-robos con violencia en establecimientos,total,3339
2011,5.4.-sustraccion de vehiculos,espanoles,5600
2011,5.4.-sustraccion de vehiculos,extranjeros,2001
2011,5.4.-sustraccion de vehiculos,total,7601
2011,5.5.-estafas,espanoles,8701
2011,5.5.-estafas,extranjeros,3327
2011,5.5.-estafas,total,12028
2011,5.5.1.-estafas informaticas,espanoles,1208
2011,5.5.1.-estafas informaticas,extranjeros,615
2011,5.5.1.-estafas informaticas,total,1823
2011,5.6.-danos,espanoles,7840
2011,5.6.-danos,extranjeros,2115
2011,5.6.-danos,total,9955
2011,5.7.-contra la propiedad intelectual/industrial,espanoles,689
2011,5.7.-contra la propiedad intelectual/industrial,extranjeros,1447
2011,5.7.-contra la propiedad intelectual/industrial,total,2136
2011,5.8.-blanqueo de capitales,espanoles,238
2011,5.8.-blanqueo de capitales,extranjeros,184
2011,5.8.-blanqueo de capitales,total,422
2011,5.9.-otros contra el patrimonio,espanoles,7471
2011,5.9.-otros contra el patrimonio,extranjeros,2300
2011,5.9.-otros contra el patrimonio,total,9771
2011,6. seguridad colectiva,espanoles,57650
2011,6. seguridad colectiva,extranjeros,20508
2011,6. seguridad colectiva,total,78158
