ano,tipo,suma_ccaa,total_raw,delta,rel,usar_raw
2014,5.2.2.-robos con fuerza en viviendas,120761,120783,22,1.8217802104984225e-4,TRUE
2014,5.2.3.-robos con fuerza en establecimientos,37954,37962,8,2.107814723085841e-4,TRUE
2014,5.3.-robos con violencia o intimidacion,70653,70855,202,0.00285904349426068,TRUE
2014,5.3.1.-robos con violencia en via publica,31685,31830,145,0.00457629793277576,TRUE
2014,5.3.2.-robos con violencia en viviendas,4694,4697,3,6.391137622496804e-4,TRUE
2014,5.3.3.-robos con violencia en establecimientos,5479,5489,10,0.00182515057492243,TRUE
2014,5.4.-sustraccion de vehiculos,43130,43206,76,0.00176211453744493,TRUE
2014,5.5.-estafas,125743,140440,14697,0.11688125780361532,FALSE
2014,5.5.1.-estafas informaticas,28217,32842,4625,0.1639082822412021,FALSE
2014,5.6.-danos,218147,218166,19,8.709723260003576e-5,TRUE
2014,5.7.-contra la propiedad intelectual/industrial,2602,2608,6,0.00230591852421214,TRUE
2014,5.8.-blanqueo de capitales,223,230,7,0.03139013452914798,TRUE
2014,5.9.-otros contra el patrimonio,47693,47804,111,0.00232738557020946,TRUE
2014,6. seguridad colectiva,66917,66938,21,3.13821599892404e-4,TRUE
2014,6.1.-trafico de drogas,13395,13411,16,0.00119447555057857,TRUE
2014,6.2.-contra la seguridad vial,51415,51419,4,7.779830788680346e-5,TRUE
2014,6.3.-otros contra la seguridad colectiva,2107,2108,1,4.7460844803037496e-4,TRUE
2014,7. falsedades,17921,18408,487,0.02717482283354723,FALSE
2014,8. admon. publica,521,521,0,0,TRUE
2014,9. admon. justicia,28008,28034,26,9.283061982290774e-4,TRUE
2014,total infracciones penales,2072986,2092040,19054,0.00919157196430656,FALSE
2015,1. contra las personas,223653,223893,240,0.00107309090421322,TRUE
2015,1.1.-homicidios dolosos/asesinatos,961,964,3,0.00312174817898022,TRUE
2015,1.1.1.-homicidios dolosos/asesinatos consumados,300,302,2,0.00666666666666666,TRUE
2015,1.2.-lesiones,96987,97012,25,2.5776650478930165e-4,TRUE
2015,1.3.-malos tratos ambito familiar,64002,64118,116,0.00181244336114496,TRUE
2015,1.4.-otros contra las personas,61703,61799,96,0.00155584007260587,TRUE
2015,10. orden publico,23154,23160,6,2.591344908007256e-4,TRUE
2015,11. legislacion especial,191,192,1,0.00523560209424083,TRUE
2015,12. otras infracciones penales,9678,9702,24,0.00247985120892746,TRUE
2015,2. contra la libertad,78553,78815,262,0.0033353277405064,TRUE
2015,2.1.-malos tratos habituales en el ambito familiar,15666,15676,10,6.383250351078769e-4,TRUE
