ano,tipo,total,total_row,delta,rel,usar_row
2014,1.3.-malos tratos ambito familiar,61370,61442,-72,0.00117183685426906,TRUE
2014,1.4.-otros contra las personas,93271,93337,-66,7.071150776219506e-4,TRUE
2014,10. orden publico,26952,26958,-6,2.2256843979523704e-4,TRUE
2014,11. legislacion especial,188,188,0,0,TRUE
2014,12. otras infracciones penales,4984,4989,-5,0.00100220485067147,TRUE
2014,2. contra la libertad,34248,34292,-44,0.0012830980986819,TRUE
2014,2.1.-malos tratos habituales en el ambito familiar,12403,12410,-7,5.640612409347301e-4,TRUE
2014,2.2.-otros contra la libertad,21845,21882,-37,0.00169088748743259,TRUE
2014,3. libertad sexual,7073,7088,-15,0.00211625282167042,TRUE
2014,3.1.-agresion sexual,3801,3806,-5,0.00131371518654755,TRUE
2014,3.2.-agresion sexual con penetracion,1321,1325,-4,0.0030188679245283,TRUE
2014,3.3.-corrupcion de menores o incapacitados,283,286,-3,0.01048951048951049,TRUE
2014,3.4.-pornografia de menores,423,425,-2,0.00470588235294117,TRUE
2014,3.5.-otros contra la libertad sexual,1245,1246,-1,8.025682182985554e-4,TRUE
2014,4. relaciones familiares,9361,9435,-74,0.00784313725490196,TRUE
2014,5. patrimonio,297671,298162,-491,0.00164675579047631,TRUE
2014,5.1.-hurtos,120754,120763,-9,7.452613797272343e-5,TRUE
2014,5.2.-robos con fuerza en las cosas,54614,54622,-8,1.464611328768628e-4,TRUE
2014,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,11754,11754,0,0,TRUE
2014,5.2.2.-robos con fuerza en viviendas,16751,16754,-3,1.7906171660498986e-4,TRUE
2014,5.2.3.-robos con fuerza en establecimientos,8235,8235,0,0,TRUE
2014,5.3.-robos con violencia o intimidacion,18382,18383,-1,5.43980851874014e-5,TRUE
2014,5.3.1.-robos con violencia en via publica,7558,7558,0,0,TRUE
2014,5.3.2.-robos con violencia en viviendas,1333,1334,-1,7.496251874062968e-4,TRUE
2014,5.3.3.-robos con violencia en establecimientos,2791,2791,0,0,TRUE
2014,5.4.-sustraccion de vehiculos,11618,11690,-72,0.00615911035072711,TRUE
2014,5.5.-estafas,35291,35659,-368,0.01031997532179814,FALSE
2014,5.5.1.-estafas informaticas,7717,7884,-167,0.02118214104515474,FALSE
2014,5.6.-danos,27774,27775,-1,3.6003600360036005e-5,TRUE
2014,5.7.-contra la propiedad intelectual/industrial,2455,2456,-1,4.071661237785017e-4,TRUE
2014,5.8.-blanqueo de capitales,211,216,-5,0.02314814814814814,TRUE
2014,5.9.-otros contra el patrimonio,26572,26598,-26,9.775171065493646e-4,TRUE
2014,6. seguridad colectiva,62161,62185,-24,3.8594516362466834e-4,TRUE
2014,6.1.-trafico de drogas,12639,12657,-18,0.00142213794738089,TRUE
2014,6.2.-contra la seguridad vial,48022,48027,-5,1.0410810585712205e-4,TRUE
2014,6.3.-otros contra la seguridad colectiva,1500,1501,-1,6.662225183211193e-4,TRUE
2014,7. falsedades,10987,11383,-396,0.03478872002108407,FALSE
2014,8. admon. publica,426,426,0,0,TRUE
2014,9. admon. justicia,26379,26405,-26,9.846619958341224e-4,TRUE
2014,total infracciones penales,714123,715357,-1234,0.00172501282576391,TRUE
2015,1. contra las personas,189084,189246,-162,8.560286611077644e-4,TRUE
2015,1.1.-homicidios dolosos/asesinatos,892,893,-1,0.00111982082866741,TRUE
2015,1.1.1.-homicidios dolosos/asesinatos consumados,243,244,-1,0.0040983606557377,TRUE
2015,1.2.-lesiones,76473,76483,-10,1.3074800936155746e-4,TRUE
2015,1.3.-malos tratos ambito familiar,63011,63117,-106,0.00167942075827431,TRUE
2015,1.4.-otros contra las personas,48708,48753,-45,9.23020121838656e-4,TRUE
2015,10. orden publico,21114,21118,-4,1.8941187612463303e-4,TRUE
2015,11. legislacion especial,180,180,0,0,TRUE
2015,12. otras infracciones penales,6234,6247,-13,0.00208099887946214,TRUE
2015,2. contra la libertad,60335,60388,-53,8.776578128104922e-4,TRUE
2015,2.1.-malos tratos habituales en el ambito familiar,12222,12230,-8,6.541291905151267e-4,TRUE
2015,2.2.-otros contra la libertad,48113,48158,-45,9.344241870509572e-4,TRUE
2015,3. libertad sexual,7491,7500,-9,0.0012,TRUE
2015,3.1.-agresion sexual,4021,4026,-5,0.00124192747143566,TRUE
2015,3.2.-agresion sexual con penetracion,1397,1399,-2,0.00142959256611865,TRUE
2015,3.3.-corrupcion de menores o incapacitados,358,358,0,0,TRUE
2015,3.4.-pornografia de menores,539,540,-1,0.00185185185185185,TRUE
2015,3.5.-otros contra la libertad sexual,1176,1177,-1,8.496176720475786e-4,TRUE
2015,4. relaciones familiares,8708,8794,-86,0.00977939504207414,TRUE
2015,5. patrimonio,272524,273069,-545,0.00199583255514174,TRUE
2015,5.1.-hurtos,111615,111625,-10,8.958566629339306e-5,TRUE
