ano,region,tipo,valor,region_raw,tipo_raw
2011,NA,2. contra la libertad,36522,TOTAL NACIONAL,2. CONTRA LA LIBERTAD
2010,NA,2. contra la libertad,34862,TOTAL NACIONAL,2. CONTRA LA LIBERTAD
2023,NA,2.1.-malos tratos habituales en el ambito familiar,14705,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2022,NA,2.1.-malos tratos habituales en el ambito familiar,13288,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2021,NA,2.1.-malos tratos habituales en el ambito familiar,12617,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2020,NA,2.1.-malos tratos habituales en el ambito familiar,11329,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2019,NA,2.1.-malos tratos habituales en el ambito familiar,11860,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2018,NA,2.1.-malos tratos habituales en el ambito familiar,11347,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2017,NA,2.1.-malos tratos habituales en el ambito familiar,11379,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2016,NA,2.1.-malos tratos habituales en el ambito familiar,11489,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2015,NA,2.1.-malos tratos habituales en el ambito familiar,12230,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2014,NA,2.1.-malos tratos habituales en el ambito familiar,12410,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2013,NA,2.1.-malos tratos habituales en el ambito familiar,13344,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2012,NA,2.1.-malos tratos habituales en el ambito familiar,14114,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2011,NA,2.1.-malos tratos habituales en el ambito familiar,14324,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2010,NA,2.1.-malos tratos habituales en el ambito familiar,14403,TOTAL NACIONAL,2.1.-Malos tratos habituales en el ámbito familiar
2023,NA,2.2.-otros contra la libertad,105298,TOTAL NACIONAL,2.2.-Otros contra la libertad
2022,NA,2.2.-otros contra la libertad,94414,TOTAL NACIONAL,2.2.-Otros contra la libertad
2021,NA,2.2.-otros contra la libertad,91801,TOTAL NACIONAL,2.2.-Otros contra la libertad
2020,NA,2.2.-otros contra la libertad,83006,TOTAL NACIONAL,2.2.-Otros contra la libertad
2019,NA,2.2.-otros contra la libertad,84386,TOTAL NACIONAL,2.2.-Otros contra la libertad
2018,NA,2.2.-otros contra la libertad,81638,TOTAL NACIONAL,2.2.-Otros contra la libertad
2017,NA,2.2.-otros contra la libertad,81636,TOTAL NACIONAL,2.2.-Otros contra la libertad
2016,NA,2.2.-otros contra la libertad,77816,TOTAL NACIONAL,2.2.-Otros contra la libertad
2015,NA,2.2.-otros contra la libertad,48158,TOTAL NACIONAL,2.2.-Otros contra la libertad
2014,NA,2.2.-otros contra la libertad,21882,TOTAL NACIONAL,2.2.-Otros contra la libertad
2013,NA,2.2.-otros contra la libertad,21820,TOTAL NACIONAL,2.2.-Otros contra la libertad
2012,NA,2.2.-otros contra la libertad,21744,TOTAL NACIONAL,2.2.-Otros contra la libertad
2011,NA,2.2.-otros contra la libertad,22198,TOTAL NACIONAL,2.2.-Otros contra la libertad
2010,NA,2.2.-otros contra la libertad,20459,TOTAL NACIONAL,2.2.-Otros contra la libertad
2023,NA,3. libertad sexual,17064,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2022,NA,3. libertad sexual,14555,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2021,NA,3. libertad sexual,13253,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2020,NA,3. libertad sexual,10293,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2019,NA,3. libertad sexual,11887,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2018,NA,3. libertad sexual,10674,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2017,NA,3. libertad sexual,8894,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2016,NA,3. libertad sexual,8381,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2015,NA,3. libertad sexual,7500,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2014,NA,3. libertad sexual,7088,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2013,NA,3. libertad sexual,6766,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2012,NA,3. libertad sexual,6698,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2011,NA,3. libertad sexual,7155,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2010,NA,3. libertad sexual,7651,TOTAL NACIONAL,3. LIBERTAD SEXUAL
2023,NA,3.1.-agresion sexual,10096,TOTAL NACIONAL,3.1.-Agresión sexual
2022,NA,3.1.-agresion sexual,8980,TOTAL NACIONAL,3.1.-Agresión sexual
2021,NA,3.1.-agresion sexual,8052,TOTAL NACIONAL,3.1.-Agresión sexual
2020,NA,3.1.-agresion sexual,5964,TOTAL NACIONAL,3.1.-Agresión sexual
2019,NA,3.1.-agresion sexual,7022,TOTAL NACIONAL,3.1.-Agresión sexual
2018,NA,3.1.-agresion sexual,6224,TOTAL NACIONAL,3.1.-Agresión sexual
2017,NA,3.1.-agresion sexual,5040,TOTAL NACIONAL,3.1.-Agresión sexual
2016,NA,3.1.-agresion sexual,4806,TOTAL NACIONAL,3.1.-Agresión sexual
2015,NA,3.1.-agresion sexual,4026,TOTAL NACIONAL,3.1.-Agresión sexual
2014,NA,3.1.-agresion sexual,3806,TOTAL NACIONAL,3.1.-Agresión sexual
2013,NA,3.1.-agresion sexual,3605,TOTAL NACIONAL,3.1.-Agresión sexual
2012,NA,3.1.-agresion sexual,3763,TOTAL NACIONAL,3.1.-Agresión sexual
2011,NA,3.1.-agresion sexual,3946,TOTAL NACIONAL,3.1.-Agresión sexual
2010,NA,3.1.-agresion sexual,4004,TOTAL NACIONAL,3.1.-Agresión sexual
2023,NA,3.2.-agresion sexual con penetracion,4052,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2022,NA,3.2.-agresion sexual con penetracion,3410,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2021,NA,3.2.-agresion sexual con penetracion,3128,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2020,NA,3.2.-agresion sexual con penetracion,2364,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2019,NA,3.2.-agresion sexual con penetracion,2554,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2018,NA,3.2.-agresion sexual con penetracion,2318,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2017,NA,3.2.-agresion sexual con penetracion,1760,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2016,NA,3.2.-agresion sexual con penetracion,1514,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2015,NA,3.2.-agresion sexual con penetracion,1399,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2014,NA,3.2.-agresion sexual con penetracion,1325,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2013,NA,3.2.-agresion sexual con penetracion,1395,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2012,NA,3.2.-agresion sexual con penetracion,1326,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2011,NA,3.2.-agresion sexual con penetracion,1519,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2010,NA,3.2.-agresion sexual con penetracion,1670,TOTAL NACIONAL,3.2.-Agresión sexual con penetración
2023,NA,3.3.-corrupcion de menores o incapacitados,269,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2022,NA,3.3.-corrupcion de menores o incapacitados,269,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2021,NA,3.3.-corrupcion de menores o incapacitados,239,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2020,NA,3.3.-corrupcion de menores o incapacitados,242,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2019,NA,3.3.-corrupcion de menores o incapacitados,276,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2018,NA,3.3.-corrupcion de menores o incapacitados,206,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2017,NA,3.3.-corrupcion de menores o incapacitados,333,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2016,NA,3.3.-corrupcion de menores o incapacitados,292,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2015,NA,3.3.-corrupcion de menores o incapacitados,358,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2014,NA,3.3.-corrupcion de menores o incapacitados,286,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2013,NA,3.3.-corrupcion de menores o incapacitados,253,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2012,NA,3.3.-corrupcion de menores o incapacitados,197,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2011,NA,3.3.-corrupcion de menores o incapacitados,173,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2010,NA,3.3.-corrupcion de menores o incapacitados,244,TOTAL NACIONAL,3.3.-Corrupción de menores o incapacitados
2023,NA,3.4.-pornografia de menores,670,TOTAL NACIONAL,3.4.-Pornografía de menores
2022,NA,3.4.-pornografia de menores,464,TOTAL NACIONAL,3.4.-Pornografía de menores
2021,NA,3.4.-pornografia de menores,502,TOTAL NACIONAL,3.4.-Pornografía de menores
2020,NA,3.4.-pornografia de menores,450,TOTAL NACIONAL,3.4.-Pornografía de menores
2019,NA,3.4.-pornografia de menores,620,TOTAL NACIONAL,3.4.-Pornografía de menores
2018,NA,3.4.-pornografia de menores,668,TOTAL NACIONAL,3.4.-Pornografía de menores
2017,NA,3.4.-pornografia de menores,518,TOTAL NACIONAL,3.4.-Pornografía de menores
2016,NA,3.4.-pornografia de menores,477,TOTAL NACIONAL,3.4.-Pornografía de menores
2015,NA,3.4.-pornografia de menores,540,TOTAL NACIONAL,3.4.-Pornografía de menores
2014,NA,3.4.-pornografia de menores,425,TOTAL NACIONAL,3.4.-Pornografía de menores
2013,NA,3.4.-pornografia de menores,305,TOTAL NACIONAL,3.4.-Pornografía de menores
2012,NA,3.4.-pornografia de menores,363,TOTAL NACIONAL,3.4.-Pornografía de menores
2011,NA,3.4.-pornografia de menores,348,TOTAL NACIONAL,3.4.-Pornografía de menores
2010,NA,3.4.-pornografia de menores,483,TOTAL NACIONAL,3.4.-Pornografía de menores
2023,NA,3.5.-otros contra la libertad sexual,1977,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2022,NA,3.5.-otros contra la libertad sexual,1432,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2021,NA,3.5.-otros contra la libertad sexual,1332,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2020,NA,3.5.-otros contra la libertad sexual,1273,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2019,NA,3.5.-otros contra la libertad sexual,1415,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2018,NA,3.5.-otros contra la libertad sexual,1258,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2017,NA,3.5.-otros contra la libertad sexual,1243,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2016,NA,3.5.-otros contra la libertad sexual,1292,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2015,NA,3.5.-otros contra la libertad sexual,1177,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2014,NA,3.5.-otros contra la libertad sexual,1246,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2013,NA,3.5.-otros contra la libertad sexual,1208,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2012,NA,3.5.-otros contra la libertad sexual,1049,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2011,NA,3.5.-otros contra la libertad sexual,1169,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2010,NA,3.5.-otros contra la libertad sexual,1250,TOTAL NACIONAL,3.5.-Otros contra la libertad sexual
2023,NA,4. relaciones familiares,7043,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2022,NA,4. relaciones familiares,7055,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2021,NA,4. relaciones familiares,6970,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2020,NA,4. relaciones familiares,6397,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2019,NA,4. relaciones familiares,6846,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2018,NA,4. relaciones familiares,7089,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2017,NA,4. relaciones familiares,7401,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2016,NA,4. relaciones familiares,7465,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2015,NA,4. relaciones familiares,8794,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2014,NA,4. relaciones familiares,9435,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2013,NA,4. relaciones familiares,9143,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2012,NA,4. relaciones familiares,9157,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2011,NA,4. relaciones familiares,7977,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2010,NA,4. relaciones familiares,7057,TOTAL NACIONAL,4. RELACIONES FAMILIARES
2023,NA,5. patrimonio,343285,TOTAL NACIONAL,5. PATRIMONIO
2022,NA,5. patrimonio,305922,TOTAL NACIONAL,5. PATRIMONIO
2021,NA,5. patrimonio,260085,TOTAL NACIONAL,5. PATRIMONIO
2020,NA,5. patrimonio,233211,TOTAL NACIONAL,5. PATRIMONIO
2019,NA,5. patrimonio,291270,TOTAL NACIONAL,5. PATRIMONIO
2018,NA,5. patrimonio,281008,TOTAL NACIONAL,5. PATRIMONIO
2017,NA,5. patrimonio,274547,TOTAL NACIONAL,5. PATRIMONIO
2016,NA,5. patrimonio,273027,TOTAL NACIONAL,5. PATRIMONIO
2015,NA,5. patrimonio,273069,TOTAL NACIONAL,5. PATRIMONIO
2014,NA,5. patrimonio,298162,TOTAL NACIONAL,5. PATRIMONIO
2013,NA,5. patrimonio,314507,TOTAL NACIONAL,5. PATRIMONIO
2012,NA,5. patrimonio,293922,TOTAL NACIONAL,5. PATRIMONIO
2011,NA,5. patrimonio,282680,TOTAL NACIONAL,5. PATRIMONIO
2010,NA,5. patrimonio,286627,TOTAL NACIONAL,5. PATRIMONIO
2023,NA,5.1.-hurtos,132759,TOTAL NACIONAL,5.1.-Hurtos
2022,NA,5.1.-hurtos,113226,TOTAL NACIONAL,5.1.-Hurtos
2021,NA,5.1.-hurtos,89799,TOTAL NACIONAL,5.1.-Hurtos
2020,NA,5.1.-hurtos,77262,TOTAL NACIONAL,5.1.-Hurtos
2019,NA,5.1.-hurtos,111318,TOTAL NACIONAL,5.1.-Hurtos
2018,NA,5.1.-hurtos,109908,TOTAL NACIONAL,5.1.-Hurtos
2017,NA,5.1.-hurtos,109895,TOTAL NACIONAL,5.1.-Hurtos
2016,NA,5.1.-hurtos,109627,TOTAL NACIONAL,5.1.-Hurtos
2015,NA,5.1.-hurtos,111625,TOTAL NACIONAL,5.1.-Hurtos
2014,NA,5.1.-hurtos,120763,TOTAL NACIONAL,5.1.-Hurtos
2013,NA,5.1.-hurtos,126519,TOTAL NACIONAL,5.1.-Hurtos
2012,NA,5.1.-hurtos,117459,TOTAL NACIONAL,5.1.-Hurtos
