ano,delito,total,pct_extran_raw,poblacion_total,pct_extran,num_extranjeros,tasa_100k,num_extranjeros_miles
2014,Lesiones graves,98821,0.09737421944067856,46433050,0.09737421944067856,4521382,212.8247013711139,4521.382
2015,Lesiones graves,97012,0.09516925946125096,46384379,0.09516925946125096,4414367,209.14799786367735,4414.367
2016,Lesiones graves,97108,0.09446665848179188,46427100,0.09446665848179188,4385813,209.16232114433168,4385.813
2017,Lesiones graves,100354,0.0956945578329142,46510461,0.0956945578329142,4450798,215.7665132581679,4450.798
2018,Lesiones graves,99928,0.10003026198029888,46715383,0.10003026198029888,4672952.000000001,213.9081252956869,4672.952000000001
2019,Lesiones graves,103341,0.1068990981056698,47087778,0.1068990981056698,5033641,219.4645922770023,5033.641
2020,Lesiones graves,81449,0.11289890609437324,47344852,0.11289890609437324,5345181.999999999,172.0334874000662,5345.181999999999
2021,Lesiones graves,96159,0.1133912094991944,47346836,0.1133912094991944,5368714.999999999,203.09488051112857,5368.714999999999
2022,Lesiones graves,113704,0.12111446234863918,47781354,0.12111446234863918,5787013,237.967304149648,5787.013
2023,Lesiones graves,118125,0.13008059515915807,48320520,0.13008059515915807,6285562.000000001,244.4613592734515,6285.562000000001
2010,Malos tratos en el ámbito familiar,60307,0.11498059499962664,46562483,0.11498059499962664,5353782,129.51843654901307,5353.782
2011,Malos tratos en el ámbito familiar,62260,0.1127488236809379,46736257,0.1127488236809379,5269458,133.2156317096596,5269.458
2012,Malos tratos en el ámbito familiar,59703,0.109877167580445,46749303,0.109877167580445,5136681,127.70885589460018,5136.681
2013,Malos tratos en el ámbito familiar,59819,0.10439185623773269,46581124,0.10439185623773269,4862690,128.41897074016504,4862.69
2014,Malos tratos en el ámbito familiar,62392,0.09737421944067856,46433050,0.09737421944067856,4521382,134.3698077123945,4521.382
2015,Malos tratos en el ámbito familiar,64118,0.09516925946125096,46384379,0.09516925946125096,4414367,138.2318819014479,4414.367
2016,Malos tratos en el ámbito familiar,66102,0.09446665848179188,46427100,0.09446665848179188,4385813,142.3780507505315,4385.813
2017,Malos tratos en el ámbito familiar,69812,0.0956945578329142,46510461,0.0956945578329142,4450798,150.09956577295588,4450.798
2018,Malos tratos en el ámbito familiar,72309,0.10003026198029888,46715383,0.10003026198029888,4672952.000000001,154.78627243621227,4672.952000000001
2019,Malos tratos en el ámbito familiar,77424,0.1068990981056698,47087778,0.1068990981056698,5033641,164.42483227813383,5033.641
2020,Malos tratos en el ámbito familiar,75203,0.11289890609437324,47344852,0.11289890609437324,5345181.999999999,158.8409231905509,5345.181999999999
2021,Malos tratos en el ámbito familiar,82003,0.1133912094991944,47346836,0.1133912094991944,5368714.999999999,173.19636733487323,5368.714999999999
2022,Malos tratos en el ámbito familiar,92695,0.12111446234863918,47781354,0.12111446234863918,5787013,193.99826970160788,5787.013
2023,Malos tratos en el ámbito familiar,101179,0.13008059515915807,48320520,0.13008059515915807,6285562.000000001,209.3913724438396,6285.562000000001
2010,Robos con violencia e intimidación,84411,0.11498059499962664,46562483,0.11498059499962664,5353782,181.2854353149509,5353.782
2011,Robos con violencia e intimidación,87718,0.1127488236809379,46736257,0.1127488236809379,5269458,187.6872595937668,5269.458
2012,Robos con violencia e intimidación,96607,0.109877167580445,46749303,0.109877167580445,5136681,206.6490702545875,5136.681
2013,Robos con violencia e intimidación,86034,0.10439185623773269,46581124,0.10439185623773269,4862690,184.69713182532908,4862.69
2014,Robos con violencia e intimidación,70855,0.09737421944067856,46433050,0.09737421944067856,4521382,152.59604958106348,4521.382
2015,Robos con violencia e intimidación,64581,0.09516925946125096,46384379,0.09516925946125096,4414367,139.23006277609107,4414.367
2016,Robos con violencia e intimidación,62952,0.09446665848179188,46427100,0.09446665848179188,4385813,135.59322033898306,4385.813
2017,Robos con violencia e intimidación,61763,0.0956945578329142,46510461,0.0956945578329142,4450798,132.7937815967896,4450.798
2018,Robos con violencia e intimidación,60295,0.10003026198029888,46715383,0.10003026198029888,4672952.000000001,129.06883370730364,4672.952000000001
2019,Robos con violencia e intimidación,65874,0.1068990981056698,47087778,0.1068990981056698,5033641,139.8961743321165,5033.641
2020,Robos con violencia e intimidación,45263,0.11289890609437324,47344852,0.11289890609437324,5345181.999999999,95.6027911968127,5345.181999999999
2021,Robos con violencia e intimidación,53073,0.1133912094991944,47346836,0.1133912094991944,5368714.999999999,112.0940795283554,5368.714999999999
2022,Robos con violencia e intimidación,63392,0.12111446234863918,47781354,0.12111446234863918,5787013,132.67099965396542,5787.013
2023,Robos con violencia e intimidación,64711,0.13008059515915807,48320520,0.13008059515915807,6285562.000000001,133.92033032757098,6285.562000000001
