nacionalidad,sexo,grupo_raw,periodo
Total,Mujeres,Todas las edades,1 de enero de 2010
Total,Mujeres,Todas las edades,1 de octubre de 2009
Total,Mujeres,Todas las edades,1 de julio de 2009
Total,Mujeres,Todas las edades,1 de abril de 2009
Total,Mujeres,Todas las edades,1 de enero de 2009
Total,Mujeres,Todas las edades,1 de octubre de 2008
Total,Mujeres,Todas las edades,1 de julio de 2008
Total,Mujeres,Todas las edades,1 de abril de 2008
Total,Mujeres,Todas las edades,1 de enero de 2008
Total,Mujeres,Todas las edades,1 de octubre de 2007
Total,Mujeres,Todas las edades,1 de julio de 2007
Total,Mujeres,Todas las edades,1 de abril de 2007
Total,Mujeres,Todas las edades,1 de enero de 2007
Total,Mujeres,Todas las edades,1 de octubre de 2006
Total,Mujeres,Todas las edades,1 de julio de 2006
Total,Mujeres,Todas las edades,1 de abril de 2006
Total,Mujeres,Todas las edades,1 de enero de 2006
Total,Mujeres,Todas las edades,1 de octubre de 2005
Total,Mujeres,Todas las edades,1 de julio de 2005
Total,Mujeres,Todas las edades,1 de abril de 2005
Total,Mujeres,Todas las edades,1 de enero de 2005
Total,Mujeres,Todas las edades,1 de octubre de 2004
Total,Mujeres,Todas las edades,1 de julio de 2004
Total,Mujeres,Todas las edades,1 de abril de 2004
Total,Mujeres,Todas las edades,1 de enero de 2004
Total,Mujeres,Todas las edades,1 de octubre de 2003
Total,Mujeres,Todas las edades,1 de julio de 2003
Total,Mujeres,Todas las edades,1 de abril de 2003
Total,Mujeres,Todas las edades,1 de enero de 2003
Total,Mujeres,Todas las edades,1 de octubre de 2002
Total,Mujeres,Todas las edades,1 de julio de 2002
Total,Mujeres,Todas las edades,1 de abril de 2002
Total,Mujeres,Todas las edades,1 de enero de 2002
Total,Total,De 0 a 4 años,1 de enero de 2024
Total,Total,De 0 a 4 años,1 de octubre de 2023
Total,Total,De 0 a 4 años,1 de julio de 2023
Total,Total,De 0 a 4 años,1 de abril de 2023
Total,Total,De 0 a 4 años,1 de enero de 2023
Total,Total,De 0 a 4 años,1 de octubre de 2022
Total,Total,De 0 a 4 años,1 de julio de 2022
Total,Total,De 0 a 4 años,1 de abril de 2022
Total,Total,De 0 a 4 años,1 de enero de 2022
Total,Total,De 0 a 4 años,1 de octubre de 2021
Total,Total,De 0 a 4 años,1 de julio de 2021
Total,Total,De 0 a 4 años,1 de abril de 2021
Total,Total,De 0 a 4 años,1 de enero de 2021
Total,Total,De 0 a 4 años,1 de octubre de 2020
Total,Total,De 0 a 4 años,1 de julio de 2020
Total,Total,De 0 a 4 años,1 de abril de 2020
Total,Total,De 0 a 4 años,1 de enero de 2020
Total,Total,De 0 a 4 años,1 de octubre de 2019
Total,Total,De 0 a 4 años,1 de julio de 2019
Total,Total,De 0 a 4 años,1 de abril de 2019
Total,Total,De 0 a 4 años,1 de enero de 2019
Total,Total,De 0 a 4 años,1 de octubre de 2018
Total,Total,De 0 a 4 años,1 de julio de 2018
Total,Total,De 0 a 4 años,1 de abril de 2018
Total,Total,De 0 a 4 años,1 de enero de 2018
Total,Total,De 0 a 4 años,1 de octubre de 2017
Total,Total,De 0 a 4 años,1 de julio de 2017
Total,Total,De 0 a 4 años,1 de abril de 2017
Total,Total,De 0 a 4 años,1 de enero de 2017
Total,Total,De 0 a 4 años,1 de octubre de 2016
Total,Total,De 0 a 4 años,1 de julio de 2016
Total,Total,De 0 a 4 años,1 de abril de 2016
Total,Total,De 0 a 4 años,1 de enero de 2016
Total,Total,De 0 a 4 años,1 de octubre de 2015
Total,Total,De 0 a 4 años,1 de julio de 2015
Total,Total,De 0 a 4 años,1 de abril de 2015
Total,Total,De 0 a 4 años,1 de enero de 2015
Total,Total,De 0 a 4 años,1 de octubre de 2014
Total,Total,De 0 a 4 años,1 de julio de 2014
Total,Total,De 0 a 4 años,1 de abril de 2014
Total,Total,De 0 a 4 años,1 de enero de 2014
Total,Total,De 0 a 4 años,1 de octubre de 2013
Total,Total,De 0 a 4 años,1 de julio de 2013
Total,Total,De 0 a 4 años,1 de abril de 2013
Total,Total,De 0 a 4 años,1 de enero de 2013
Total,Total,De 0 a 4 años,1 de octubre de 2012
Total,Total,De 0 a 4 años,1 de julio de 2012
Total,Total,De 0 a 4 años,1 de abril de 2012
Total,Total,De 0 a 4 años,1 de enero de 2012
Total,Total,De 0 a 4 años,1 de octubre de 2011
Total,Total,De 0 a 4 años,1 de julio de 2011
Total,Total,De 0 a 4 años,1 de abril de 2011
Total,Total,De 0 a 4 años,1 de enero de 2011
Total,Total,De 0 a 4 años,1 de octubre de 2010
Total,Total,De 0 a 4 años,1 de julio de 2010
Total,Total,De 0 a 4 años,1 de abril de 2010
Total,Total,De 0 a 4 años,1 de enero de 2010
Total,Total,De 0 a 4 años,1 de octubre de 2009
Total,Total,De 0 a 4 años,1 de julio de 2009
Total,Total,De 0 a 4 años,1 de abril de 2009
Total,Total,De 0 a 4 años,1 de enero de 2009
Total,Total,De 0 a 4 años,1 de octubre de 2008
Total,Total,De 0 a 4 años,1 de julio de 2008
Total,Total,De 0 a 4 años,1 de abril de 2008
Total,Total,De 0 a 4 años,1 de enero de 2008
Total,Total,De 0 a 4 años,1 de octubre de 2007
Total,Total,De 0 a 4 años,1 de julio de 2007
Total,Total,De 0 a 4 años,1 de abril de 2007
Total,Total,De 0 a 4 años,1 de enero de 2007
Total,Total,De 0 a 4 años,1 de octubre de 2006
Total,Total,De 0 a 4 años,1 de julio de 2006
Total,Total,De 0 a 4 años,1 de abril de 2006
Total,Total,De 0 a 4 años,1 de enero de 2006
Total,Total,De 0 a 4 años,1 de octubre de 2005
Total,Total,De 0 a 4 años,1 de julio de 2005
Total,Total,De 0 a 4 años,1 de abril de 2005
Total,Total,De 0 a 4 años,1 de enero de 2005
Total,Total,De 0 a 4 años,1 de octubre de 2004
Total,Total,De 0 a 4 años,1 de julio de 2004
Total,Total,De 0 a 4 años,1 de abril de 2004
Total,Total,De 0 a 4 años,1 de enero de 2004
Total,Total,De 0 a 4 años,1 de octubre de 2003
Total,Total,De 0 a 4 años,1 de julio de 2003
Total,Total,De 0 a 4 años,1 de abril de 2003
Total,Total,De 0 a 4 años,1 de enero de 2003
Total,Total,De 0 a 4 años,1 de octubre de 2002
Total,Total,De 0 a 4 años,1 de julio de 2002
Total,Total,De 0 a 4 años,1 de abril de 2002
Total,Total,De 0 a 4 años,1 de enero de 2002
Total,Hombres,De 0 a 4 años,1 de enero de 2024
Total,Hombres,De 0 a 4 años,1 de octubre de 2023
Total,Hombres,De 0 a 4 años,1 de julio de 2023
Total,Hombres,De 0 a 4 años,1 de abril de 2023
Total,Hombres,De 0 a 4 años,1 de enero de 2023
Total,Hombres,De 0 a 4 años,1 de octubre de 2022
Total,Hombres,De 0 a 4 años,1 de julio de 2022
Total,Hombres,De 0 a 4 años,1 de abril de 2022
Total,Hombres,De 0 a 4 años,1 de enero de 2022
Total,Hombres,De 0 a 4 años,1 de octubre de 2021
Total,Hombres,De 0 a 4 años,1 de julio de 2021
Total,Hombres,De 0 a 4 años,1 de abril de 2021
Total,Hombres,De 0 a 4 años,1 de enero de 2021
Total,Hombres,De 0 a 4 años,1 de octubre de 2020
Total,Hombres,De 0 a 4 años,1 de julio de 2020
Total,Hombres,De 0 a 4 años,1 de abril de 2020
Total,Hombres,De 0 a 4 años,1 de enero de 2020
