ano,tipo,he,total_hc,delta,flag
2013,5.2.3.-robos con fuerza en establecimientos,9040,39940,-30900,TRUE
2013,5.3.-robos con violencia o intimidacion,22061,86034,-63973,TRUE
2013,5.3.1.-robos con violencia en via publica,8936,38975,-30039,TRUE
2013,5.3.2.-robos con violencia en viviendas,1641,6306,-4665,TRUE
2013,5.3.3.-robos con violencia en establecimientos,3245,6747,-3502,TRUE
2013,5.4.-sustraccion de vehiculos,13073,48855,-35782,TRUE
2013,5.5.-estafas,34321,109856,-75535,TRUE
2013,5.5.1.-estafas informaticas,6796,22742,-15946,TRUE
2013,5.6.-danos,28846,226619,-197773,TRUE
2013,5.7.-contra la propiedad intelectual/industrial,3144,3260,-116,TRUE
2013,5.8.-blanqueo de capitales,232,243,-11,TRUE
2013,5.9.-otros contra el patrimonio,23566,40018,-16452,TRUE
2013,6. seguridad colectiva,68217,71596,-3379,TRUE
2013,6.1.-trafico de drogas,13839,14296,-457,TRUE
2013,6.2.-contra la seguridad vial,52869,55226,-2357,TRUE
2013,6.3.-otros contra la seguridad colectiva,1509,2074,-565,TRUE
2013,7. falsedades,10835,16859,-6024,TRUE
2013,8. admon. publica,310,391,-81,TRUE
2013,9. admon. justicia,26368,27245,-877,TRUE
2013,total infracciones penales,735153,NA,NA,TRUE
2014,1. contra las personas,233693,281713,-48020,TRUE
2014,1.1.-homicidios dolosos/asesinatos,950,1048,-98,TRUE
2014,1.1.1.-homicidios dolosos/asesinatos consumados,232,323,-91,TRUE
2014,1.2.-lesiones,78102,98821,-20719,TRUE
2014,1.3.-malos tratos ambito familiar,61370,62392,-1022,TRUE
2014,1.4.-otros contra las personas,93271,119452,-26181,TRUE
2014,10. orden publico,26952,29466,-2514,TRUE
2014,11. legislacion especial,188,185,3,TRUE
2014,12. otras infracciones penales,4984,7864,-2880,TRUE
2014,2. contra la libertad,34248,42953,-8705,TRUE
2014,2.1.-malos tratos habituales en el ambito familiar,12403,15958,-3555,TRUE
2014,2.2.-otros contra la libertad,21845,26833,-4988,TRUE
2014,3. libertad sexual,7073,9468,-2395,TRUE
2014,3.1.-agresion sexual,3801,5150,-1349,TRUE
2014,3.2.-agresion sexual con penetracion,1321,1622,-301,TRUE
2014,3.3.-corrupcion de menores o incapacitados,283,386,-103,TRUE
2014,3.4.-pornografia de menores,423,625,-202,TRUE
2014,3.5.-otros contra la libertad sexual,1245,1685,-440,TRUE
2014,4. relaciones familiares,9361,10506,-1145,TRUE
2014,5. patrimonio,297671,1578057,-1280386,TRUE
2014,5.1.-hurtos,120754,727800,-607046,TRUE
2014,5.2.-robos con fuerza en las cosas,54614,344875,-290261,TRUE
2014,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,11754,106174,-94420,TRUE
2014,5.2.2.-robos con fuerza en viviendas,16751,120783,-104032,TRUE
2014,5.2.3.-robos con fuerza en establecimientos,8235,37962,-29727,TRUE
2014,5.3.-robos con violencia o intimidacion,18382,70855,-52473,TRUE
2014,5.3.1.-robos con violencia en via publica,7558,31830,-24272,TRUE
2014,5.3.2.-robos con violencia en viviendas,1333,4697,-3364,TRUE
2014,5.3.3.-robos con violencia en establecimientos,2791,5489,-2698,TRUE
2014,5.4.-sustraccion de vehiculos,11618,43206,-31588,TRUE
2014,5.5.-estafas,35291,125743,-90452,TRUE
2014,5.5.1.-estafas informaticas,7717,28217,-20500,TRUE
2014,5.6.-danos,27774,218166,-190392,TRUE
2014,5.7.-contra la propiedad intelectual/industrial,2455,2608,-153,TRUE
2014,5.8.-blanqueo de capitales,211,230,-19,TRUE
2014,5.9.-otros contra el patrimonio,26572,47804,-21232,TRUE
2014,6. seguridad colectiva,62161,66938,-4777,TRUE
2014,6.1.-trafico de drogas,12639,13411,-772,TRUE
2014,6.2.-contra la seguridad vial,48022,51419,-3397,TRUE
2014,6.3.-otros contra la seguridad colectiva,1500,2108,-608,TRUE
2014,7. falsedades,10987,17921,-6934,TRUE
2014,8. admon. publica,426,521,-95,TRUE
2014,9. admon. justicia,26379,28034,-1655,TRUE
2014,total infracciones penales,714123,NA,NA,TRUE
2015,1. contra las personas,189084,223893,-34809,TRUE
2015,1.1.-homicidios dolosos/asesinatos,892,964,-72,TRUE
2015,1.1.1.-homicidios dolosos/asesinatos consumados,243,302,-59,TRUE
2015,1.2.-lesiones,76473,97012,-20539,TRUE
2015,1.3.-malos tratos ambito familiar,63011,64118,-1107,TRUE
2015,1.4.-otros contra las personas,48708,61799,-13091,TRUE
2015,10. orden publico,21114,23160,-2046,TRUE
2015,11. legislacion especial,180,192,-12,TRUE
2015,12. otras infracciones penales,6234,9702,-3468,TRUE
2015,2. contra la libertad,60335,78815,-18480,TRUE
2015,2.1.-malos tratos habituales en el ambito familiar,12222,15676,-3454,TRUE
2015,2.2.-otros contra la libertad,48113,63139,-15026,TRUE
2015,3. libertad sexual,7491,9869,-2378,TRUE
2015,3.1.-agresion sexual,4021,5338,-1317,TRUE
2015,3.2.-agresion sexual con penetracion,1397,1668,-271,TRUE
2015,3.3.-corrupcion de menores o incapacitados,358,432,-74,TRUE
2015,3.4.-pornografia de menores,539,748,-209,TRUE
2015,3.5.-otros contra la libertad sexual,1176,1683,-507,TRUE
2015,4. relaciones familiares,8708,9711,-1003,TRUE
2015,5. patrimonio,272524,1555536,-1283012,TRUE
2015,5.1.-hurtos,111615,715469,-603854,TRUE
2015,5.2.-robos con fuerza en las cosas,44412,322705,-278293,TRUE
2015,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,9753,100021,-90268,TRUE
2015,5.2.2.-robos con fuerza en viviendas,12995,115302,-102307,TRUE
2015,5.2.3.-robos con fuerza en establecimientos,7446,35959,-28513,TRUE
2015,5.3.-robos con violencia o intimidacion,16028,64581,-48553,TRUE
2015,5.3.1.-robos con violencia en via publica,6414,28798,-22384,TRUE
2015,5.3.2.-robos con violencia en viviendas,1195,3929,-2734,TRUE
2015,5.3.3.-robos con violencia en establecimientos,2500,5168,-2668,TRUE
2015,5.4.-sustraccion de vehiculos,11583,43170,-31587,TRUE
2015,5.5.-estafas,35662,150327,-114665,TRUE
2015,5.5.1.-estafas informaticas,10162,57722,-47560,TRUE
2015,5.6.-danos,26089,215519,-189430,TRUE
2015,5.7.-contra la propiedad intelectual/industrial,1863,2047,-184,TRUE
2015,5.8.-blanqueo de capitales,261,290,-29,TRUE
2015,5.9.-otros contra el patrimonio,25011,44902,-19891,TRUE
2015,6. seguridad colectiva,55490,60090,-4600,TRUE
2015,6.1.-trafico de drogas,11374,12069,-695,TRUE
2015,6.2.-contra la seguridad vial,42718,45991,-3273,TRUE
2015,6.3.-otros contra la seguridad colectiva,1398,2030,-632,TRUE
2015,7. falsedades,11060,18749,-7689,TRUE
2015,8. admon. publica,383,535,-152,TRUE
2015,9. admon. justicia,25899,27538,-1639,TRUE
2015,total infracciones penales,658502,NA,NA,TRUE
2016,1. contra las personas,145098,166431,-21333,TRUE
2016,1.1.-homicidios dolosos/asesinatos,1019,1107,-88,TRUE
2016,1.1.1.-homicidios dolosos/asesinatos consumados,210,294,-84,TRUE
2016,1.2.-lesiones,77284,97108,-19824,TRUE
2016,1.3.-malos tratos ambito familiar,65388,66102,-714,TRUE
2016,1.4.-otros contra las personas,1407,2114,-707,TRUE
2016,10. orden publico,17638,18867,-1229,TRUE
2016,11. legislacion especial,131,143,-12,TRUE
2016,12. otras infracciones penales,7431,10394,-2963,TRUE
2016,2. contra la libertad,89201,115493,-26292,TRUE
2016,2.1.-malos tratos habituales en el ambito familiar,11473,14554,-3081,TRUE
2016,2.2.-otros contra la libertad,77728,100939,-23211,TRUE
2016,3. libertad sexual,8367,10844,-2477,TRUE
2016,3.1.-agresion sexual,4797,6233,-1436,TRUE
2016,3.2.-agresion sexual con penetracion,1511,1793,-282,TRUE
2016,3.3.-corrupcion de menores o incapacitados,292,368,-76,TRUE
2016,3.4.-pornografia de menores,476,621,-145,TRUE
2016,3.5.-otros contra la libertad sexual,1291,1829,-538,TRUE
2016,4. relaciones familiares,7378,8043,-665,TRUE
2016,5. patrimonio,272517,1555626,-1283109,TRUE
2016,5.1.-hurtos,109612,711507,-601895,TRUE
2016,5.2.-robos con fuerza en las cosas,45504,318164,-272660,TRUE
2016,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10574,104274,-93700,TRUE
2016,5.2.2.-robos con fuerza en viviendas,13715,113299,-99584,TRUE
2016,5.2.3.-robos con fuerza en establecimientos,7898,37619,-29721,TRUE
2016,5.3.-robos con violencia o intimidacion,16355,62952,-46597,TRUE
2016,5.3.1.-robos con violencia en via publica,6737,28741,-22004,TRUE
2016,5.3.2.-robos con violencia en viviendas,1169,3521,-2352,TRUE
2016,5.3.3.-robos con violencia en establecimientos,2625,5174,-2549,TRUE
2016,5.4.-sustraccion de vehiculos,11795,43335,-31540,TRUE
2016,5.5.-estafas,37540,166221,-128681,TRUE
2016,5.5.1.-estafas informaticas,11302,66114,-54812,TRUE
2016,5.6.-danos,26195,214709,-188514,TRUE
2016,5.7.-contra la propiedad intelectual/industrial,1713,1889,-176,TRUE
2016,5.8.-blanqueo de capitales,233,262,-29,TRUE
2016,5.9.-otros contra el patrimonio,23570,40123,-16553,TRUE
2016,6. seguridad colectiva,53768,58350,-4582,TRUE
2016,6.1.-trafico de drogas,11688,12448,-760,TRUE
2016,6.2.-contra la seguridad vial,40693,43913,-3220,TRUE
2016,6.3.-otros contra la seguridad colectiva,1387,1989,-602,TRUE
2016,7. falsedades,11980,19480,-7500,TRUE
2016,8. admon. publica,414,553,-139,TRUE
2016,9. admon. justicia,26155,27647,-1492,TRUE
2016,total infracciones penales,640078,NA,NA,TRUE
2017,1. contra las personas,150244,174217,-23973,TRUE
2017,1.1.-homicidios dolosos/asesinatos,1028,1106,-78,TRUE
2017,1.1.1.-homicidios dolosos/asesinatos consumados,235,307,-72,TRUE
2017,1.2.-lesiones,78612,100354,-21742,TRUE
2017,1.3.-malos tratos ambito familiar,68483,69812,-1329,TRUE
2017,1.4.-otros contra las personas,2121,2945,-824,TRUE
2017,10. orden publico,18232,19591,-1359,TRUE
2017,11. legislacion especial,152,165,-13,TRUE
2017,12. otras infracciones penales,6935,9772,-2837,TRUE
