ano,tipo,sum_sex,total_decl,diff,rel_diff
2022,total infracciones penales,344628,172314,-172314,-0.5
2023,1. contra las personas,86432,43216,-43216,-0.5
2023,1.1.-homicidios dolosos/asesinatos,1136,568,-568,-0.5
2023,1.1.1.-homicidios dolosos/asesinatos consumados,274,137,-137,-0.5
2023,1.2.-lesiones,27076,13538,-13538,-0.5
2023,1.3.-malos tratos ambito familiar,55612,27806,-27806,-0.5
2023,1.4.-otros contra las personas,2608,1304,-1304,-0.5
2023,10. orden publico,19608,9804,-9804,-0.5
2023,11. legislacion especial,186,93,-93,-0.5
2023,12. otras infracciones penales,3542,1771,-1771,-0.5
2023,2. contra la libertad,31172,15586,-15586,-0.5
2023,2.1.-malos tratos habituales en el ambito familiar,7130,3565,-3565,-0.5
2023,2.2.-otros contra la libertad,24042,12021,-12021,-0.5
2023,3. libertad sexual,10272,5136,-5136,-0.5
2023,3.1.-agresion sexual,6250,3125,-3125,-0.5
2023,3.2.-agresion sexual con penetracion,2652,1326,-1326,-0.5
2023,3.3.-corrupcion de menores o incapacitados,72,36,-36,-0.5
2023,3.4.-pornografia de menores,166,83,-83,-0.5
2023,3.5.-otros contra la libertad sexual,1132,566,-566,-0.5
2023,4. relaciones familiares,1660,830,-830,-0.5
2023,5. patrimonio,167938,83969,-83969,-0.5
2023,5.1.-hurtos,81302,40651,-40651,-0.5
2023,5.2.-robos con fuerza en las cosas,21336,10668,-10668,-0.5
2023,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5646,2823,-2823,-0.5
2023,5.2.2.-robos con fuerza en viviendas,6978,3489,-3489,-0.5
2023,5.2.3.-robos con fuerza en establecimientos,4494,2247,-2247,-0.5
2023,5.3.-robos con violencia o intimidacion,21106,10553,-10553,-0.5
2023,5.3.1.-robos con violencia en via publica,14088,7044,-7044,-0.5
2023,5.3.2.-robos con violencia en viviendas,1048,524,-524,-0.5
2023,5.3.3.-robos con violencia en establecimientos,3620,1810,-1810,-0.5
2023,5.4.-sustraccion de vehiculos,2208,1104,-1104,-0.5
2023,5.5.-estafas,12002,6001,-6001,-0.5
2023,5.5.1.-estafas informaticas,4932,2466,-2466,-0.5
2023,5.6.-danos,7058,3529,-3529,-0.5
2023,5.7.-contra la propiedad intelectual/industrial,1652,826,-826,-0.5
2023,5.8.-blanqueo de capitales,292,146,-146,-0.5
2023,5.9.-otros contra el patrimonio,20982,10491,-10491,-0.5
2023,6. seguridad colectiva,42706,21353,-21353,-0.5
2023,6.1.-trafico de drogas,19104,9552,-9552,-0.5
2023,6.2.-contra la seguridad vial,22644,11322,-11322,-0.5
2023,6.3.-otros contra la seguridad colectiva,958,479,-479,-0.5
2023,7. falsedades,13752,6876,-6876,-0.5
2023,8. admon. publica,74,37,-37,-0.5
2023,9. admon. justicia,16850,8425,-8425,-0.5
2023,total infracciones penales,394192,197096,-197096,-0.5
