ano,delito5,total,extranjeros,espanoles
2015,3.4.-pornografia de menores,473,45,428
2015,3.5.-otros contra la libertad sexual,1092,319,773
2015,4. relaciones familiares,2170,420,1750
2015,5. patrimonio,145876,35459,110417
2015,5.1.-hurtos,57447,16434,41013
2015,5.2.-robos con fuerza en las cosas,36420,6996,29424
2015,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5941,988,4953
2015,5.2.2.-robos con fuerza en viviendas,10764,2813,7951
2015,5.2.3.-robos con fuerza en establecimientos,7002,1377,5625
2015,5.3.-robos con violencia o intimidacion,15444,3602,11842
2015,5.3.1.-robos con violencia en via publica,6944,2269,4675
2015,5.3.2.-robos con violencia en viviendas,1203,340,863
2015,5.3.3.-robos con violencia en establecimientos,2522,565,1957
2015,5.4.-sustraccion de vehiculos,4920,1139,3781
2015,5.5.-estafas,11035,2241,8794
2015,5.5.1.-estafas informaticas,2226,427,1799
2015,5.6.-danos,7014,1251,5763
2015,5.7.-contra la propiedad intelectual/industrial,1710,1130,580
2015,5.8.-blanqueo de capitales,636,188,448
2015,5.9.-otros contra el patrimonio,11250,2478,8772
2015,6. seguridad colectiva,55254,12429,42825
2015,6.1.-trafico de drogas,18240,4988,13252
2015,6.2.-contra la seguridad vial,35354,7135,28219
2015,6.3.-otros contra la seguridad colectiva,1660,306,1354
2015,7. falsedades,11469,6258,5211
2015,8. admon. publica,780,57,723
2015,9. admon. justicia,19186,3389,15797
2015,total infracciones penales,380244,91808,288436
2016,1. contra las personas,81360,19467,61893
2016,1.1.-homicidios dolosos/asesinatos,1233,290,943
2016,1.1.1.-homicidios dolosos/asesinatos consumados,333,107,226
2016,1.2.-lesiones,28184,6027,22157
2016,1.3.-malos tratos ambito familiar,50743,12786,37957
2016,1.4.-otros contra las personas,1200,364,836
2016,10. orden publico,17358,5156,12202
2016,11. legislacion especial,319,94,225
2016,12. otras infracciones penales,4934,1343,3591
2016,2. contra la libertad,34222,6137,28085
2016,2.1.-malos tratos habituales en el ambito familiar,9083,1930,7153
2016,2.2.-otros contra la libertad,25139,4207,20932
2016,3. libertad sexual,6363,1623,4740
2016,3.1.-agresion sexual,3472,877,2595
2016,3.2.-agresion sexual con penetracion,1238,376,862
2016,3.3.-corrupcion de menores o incapacitados,248,43,205
2016,3.4.-pornografia de menores,441,40,401
2016,3.5.-otros contra la libertad sexual,964,287,677
2016,4. relaciones familiares,1586,334,1252
2016,5. patrimonio,139669,35199,104470
2016,5.1.-hurtos,56696,16744,39952
2016,5.2.-robos con fuerza en las cosas,33077,6765,26312
2016,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5851,1031,4820
2016,5.2.2.-robos con fuerza en viviendas,10259,3077,7182
2016,5.2.3.-robos con fuerza en establecimientos,6702,1326,5376
2016,5.3.-robos con violencia o intimidacion,15417,3929,11488
2016,5.3.1.-robos con violencia en via publica,6901,2568,4333
2016,5.3.2.-robos con violencia en viviendas,1207,357,850
2016,5.3.3.-robos con violencia en establecimientos,2619,598,2021
2016,5.4.-sustraccion de vehiculos,4825,1049,3776
2016,5.5.-estafas,11276,2173,9103
2016,5.5.1.-estafas informaticas,2103,446,1657
2016,5.6.-danos,7304,1433,5871
2016,5.7.-contra la propiedad intelectual/industrial,1700,1092,608
2016,5.8.-blanqueo de capitales,531,201,330
2016,5.9.-otros contra el patrimonio,8843,1813,7030
2016,6. seguridad colectiva,52687,11637,41050
2016,6.1.-trafico de drogas,18564,4758,13806
2016,6.2.-contra la seguridad vial,32419,6580,25839
2016,6.3.-otros contra la seguridad colectiva,1704,299,1405
2016,7. falsedades,10241,5780,4461
2016,8. admon. publica,810,36,774
2016,9. admon. justicia,18387,3395,14992
2016,total infracciones penales,367936,90201,277735
2017,1. contra las personas,86481,21304,65177
2017,1.1.-homicidios dolosos/asesinatos,1208,270,938
2017,1.1.1.-homicidios dolosos/asesinatos consumados,332,86,246
2017,1.2.-lesiones,30690,6802,23888
2017,1.3.-malos tratos ambito familiar,53238,13814,39424
2017,1.4.-otros contra las personas,1345,418,927
2017,10. orden publico,18023,5428,12595
2017,11. legislacion especial,339,76,263
2017,12. otras infracciones penales,4970,1343,3627
2017,2. contra la libertad,37237,6676,30561
2017,2.1.-malos tratos habituales en el ambito familiar,9141,1989,7152
2017,2.2.-otros contra la libertad,28096,4687,23409
2017,3. libertad sexual,6796,1775,5021
2017,3.1.-agresion sexual,3708,970,2738
2017,3.2.-agresion sexual con penetracion,1369,393,976
2017,3.3.-corrupcion de menores o incapacitados,275,53,222
2017,3.4.-pornografia de menores,463,52,411
2017,3.5.-otros contra la libertad sexual,981,307,674
2017,4. relaciones familiares,1787,367,1420
2017,5. patrimonio,137764,34077,103687
2017,5.1.-hurtos,56846,16905,39941
2017,5.2.-robos con fuerza en las cosas,31454,5836,25618
2017,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5549,977,4572
2017,5.2.2.-robos con fuerza en viviendas,9584,2466,7118
2017,5.2.3.-robos con fuerza en establecimientos,6445,1093,5352
2017,5.3.-robos con violencia o intimidacion,15143,3701,11442
2017,5.3.1.-robos con violencia en via publica,6563,2298,4265
2017,5.3.2.-robos con violencia en viviendas,1161,312,849
2017,5.3.3.-robos con violencia en establecimientos,2757,622,2135
2017,5.4.-sustraccion de vehiculos,4410,895,3515
2017,5.5.-estafas,11248,2179,9069
2017,5.5.1.-estafas informaticas,1997,393,1604
2017,5.6.-danos,7640,1483,6157
2017,5.7.-contra la propiedad intelectual/industrial,1380,890,490
2017,5.8.-blanqueo de capitales,608,191,417
2017,5.9.-otros contra el patrimonio,9035,1997,7038
2017,6. seguridad colectiva,52882,11914,40968
2017,6.1.-trafico de drogas,18865,4906,13959
2017,6.2.-contra la seguridad vial,32152,6653,25499
2017,6.3.-otros contra la seguridad colectiva,1865,355,1510
2017,7. falsedades,9555,5235,4320
2017,8. admon. publica,694,88,606
2017,9. admon. justicia,19337,3728,15609
2017,total infracciones penales,375865,92011,283854
2018,1. contra las personas,89831,22512,67319
2018,1.1.-homicidios dolosos/asesinatos,1204,277,927
2018,1.1.1.-homicidios dolosos/asesinatos consumados,340,93,247
2018,1.2.-lesiones,31812,7172,24640
2018,1.3.-malos tratos ambito familiar,55153,14614,40539
2018,1.4.-otros contra las personas,1662,449,1213
2018,10. orden publico,18235,5521,12714
2018,11. legislacion especial,507,83,424
2018,12. otras infracciones penales,5078,1266,3812
