window,var,mode,test,n_obs,stat,cv_1pct,cv_5pct,cv_10pct,reject_1pct,reject_5pct,reject_10pct,za_break_index,za_break_year
con_covid_2010_2023,pct_extranjeros_poblacion,level,ZA(break:both),14,-3.3960836282702083,NA,NA,NA,NA,FALSE,FALSE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,diff,"ADF(drift,lag<=1,tau2)",13,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,diff,"ADF(trend,lag<=1,tau3)",13,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,diff,"PP(Z-tau,const,long)",13,-0.204727905701935,-4.136541666666666,-3.1483222222222222,-2.7180444444444443,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,diff,"PP(Z-tau,trend,long)",13,-2.937218224846957,-4.989327777777778,-3.873002777777778,-3.3820388888888884,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,diff,KPSS(mu: level),13,0.4745455187647467,0.739,0.463,0.347,FALSE,TRUE,TRUE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,diff,KPSS(tau: trend),13,0.08469178144015223,0.216,0.146,0.119,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,diff,"ERS(DF-GLS,const)",13,-0.8475844913243114,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,pct_extranjeros_poblacion,diff,"ERS(DF-GLS,trend)",13,-2.255850597010991,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,pib_pc_real,level,"ADF(drift,lag<=1,tau2)",14,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pib_pc_real,level,"ADF(trend,lag<=1,tau3)",14,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pib_pc_real,level,"PP(Z-tau,const,long)",14,-0.908026882023575,-4.068038461538461,-3.1221828402366865,-2.7042242603550295,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pib_pc_real,level,"PP(Z-tau,trend,long)",14,-2.348971872411341,-4.887048520710059,-3.828795266272189,-3.358752071005917,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pib_pc_real,level,KPSS(mu: level),14,0.42038953522654143,0.739,0.463,0.347,FALSE,FALSE,TRUE,NA,NA
con_covid_2010_2023,pib_pc_real,level,KPSS(tau: trend),14,0.06979700228314943,0.216,0.146,0.119,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pib_pc_real,level,"ERS(DF-GLS,const)",14,-1.3269692136367386,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,pib_pc_real,level,"ERS(DF-GLS,trend)",14,-2.627471247543488,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,pib_pc_real,level,ZA(break:both),14,-5.630669129593163,NA,NA,NA,NA,FALSE,FALSE,NA,NA
con_covid_2010_2023,pib_pc_real,diff,"ADF(drift,lag<=1,tau2)",13,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pib_pc_real,diff,"ADF(trend,lag<=1,tau3)",13,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pib_pc_real,diff,"PP(Z-tau,const,long)",13,-5.029619400754965,-4.136541666666666,-3.1483222222222222,-2.7180444444444443,TRUE,TRUE,TRUE,NA,NA
con_covid_2010_2023,pib_pc_real,diff,"PP(Z-tau,trend,long)",13,-4.545260580547126,-4.989327777777778,-3.873002777777778,-3.3820388888888884,FALSE,TRUE,TRUE,NA,NA
con_covid_2010_2023,pib_pc_real,diff,KPSS(mu: level),13,0.11729423231231892,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pib_pc_real,diff,KPSS(tau: trend),13,0.09078560285964304,0.216,0.146,0.119,FALSE,FALSE,FALSE,NA,NA
con_covid_2010_2023,pib_pc_real,diff,"ERS(DF-GLS,const)",13,-2.523301079740959,NA,NA,NA,NA,NA,NA,NA,NA
con_covid_2010_2023,pib_pc_real,diff,"ERS(DF-GLS,trend)",13,-2.1891042885976124,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,level,"ADF(drift,lag<=1,tau2)",12,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,level,"ADF(trend,lag<=1,tau3)",12,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,level,"PP(Z-tau,const,long)",12,-0.8606014782051988,-4.220599173553719,-3.1800999999999995,-2.7348520661157023,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,level,"PP(Z-tau,trend,long)",12,2.3691399762927614,-5.115229752066115,-3.927137190082645,-3.4103628099173555,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,level,KPSS(mu: level),12,0.15671497809797907,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,level,KPSS(tau: trend),12,0.14596427142759694,0.216,0.146,0.119,FALSE,FALSE,TRUE,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,level,"ERS(DF-GLS,const)",12,-2.5441946038358387,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,level,"ERS(DF-GLS,trend)",12,-2.901263982281623,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,level,ZA(break:both),12,-1.8582547104360672,NA,NA,NA,NA,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,diff,"ADF(drift,lag<=1,tau2)",11,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,diff,"ADF(trend,lag<=1,tau3)",11,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
