Comunidades autónomas;Tipología penal;Sexo;periodo;Total
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2018;1.494
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2017;1.410
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2016;1.305
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2015;1.260
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2014;1.239
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2013;1.343
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2012;1.291
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2011;1.308
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2010;969
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2023;27.806
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2022;24.687
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2021;20.563
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2020;18.595
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2019;16.416
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2018;14.614
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2017;13.814
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2016;12.786
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2015;12.430
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2014;12.801
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2013;14.046
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2012;15.177
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2011;16.260
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2010;14.747
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2023;1.092
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2022;825
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2021;747
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2020;578
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2019;424
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2018;375
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2017;367
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2016;337
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2015;1.007
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2014;1.656
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2013;1.674
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2012;1.993
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2011;2.312
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2010;834
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2023;212
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2022;149
