Comunidades autónomas;Tipología penal;Sexo;periodo;Total
CASTILLA - LA MANCHA;5. PATRIMONIO;Femenino;2016;273
CASTILLA - LA MANCHA;5. PATRIMONIO;Femenino;2015;310
CASTILLA - LA MANCHA;5. PATRIMONIO;Femenino;2014;342
CASTILLA - LA MANCHA;5. PATRIMONIO;Femenino;2013;370
CASTILLA - LA MANCHA;5. PATRIMONIO;Femenino;2012;363
CASTILLA - LA MANCHA;5. PATRIMONIO;Femenino;2011;320
CASTILLA - LA MANCHA;5. PATRIMONIO;Femenino;2010;244
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2023;1.503
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2022;1.291
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2021;1.235
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2020;1.161
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2019;1.368
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2018;1.304
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2017;1.308
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2016;1.448
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2015;1.304
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2014;1.795
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2013;2.345
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2012;2.219
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2011;2.250
CASTILLA - LA MANCHA;5. PATRIMONIO;Ambos sexos;2010;1.903
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2023;346
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2022;250
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2021;215
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2020;182
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2019;269
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2018;270
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2017;309
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2016;393
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2015;316
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2014;396
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2013;495
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2012;483
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2011;559
CASTILLA - LA MANCHA;5.1.-Hurtos;Masculino;2010;304
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2023;168
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2022;111
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2021;97
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2020;103
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2019;133
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2018;150
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2017;141
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2016;176
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2015;225
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2014;201
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2013;176
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2012;187
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2011;177
CASTILLA - LA MANCHA;5.1.-Hurtos;Femenino;2010;121
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2023;514
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2022;361
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2021;312
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2020;285
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2019;402
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2018;420
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2017;450
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2016;569
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2015;541
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2014;597
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2013;671
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2012;670
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2011;736
CASTILLA - LA MANCHA;5.1.-Hurtos;Ambos sexos;2010;425
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2023;292
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2022;297
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2021;279
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2020;252
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2019;290
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2018;307
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2017;378
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2016;400
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2015;375
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2014;647
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2013;889
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2012;788
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2011;866
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Masculino;2010;808
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2023;13
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2022;25
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2021;14
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2020;27
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2019;26
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2018;16
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2017;31
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2016;22
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2015;21
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2014;52
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2013;60
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2012;51
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2011;46
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Femenino;2010;43
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2023;305
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2022;322
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2021;293
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2020;279
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2019;316
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2018;323
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2017;409
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2016;422
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2015;396
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2014;699
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2013;949
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2012;839
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2011;912
CASTILLA - LA MANCHA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2010;851
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2023;42
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2022;45
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2021;43
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2020;26
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2019;27
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2018;32
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2017;25
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2016;41
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2015;24
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2014;48
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2013;83
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2012;49
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2011;79
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2010;42
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2023;0
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2022;0
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2021;0
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2020;0
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2019;0
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2018;3
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2017;3
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2016;1
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2015;0
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2014;4
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2013;5
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2012;0
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2011;4
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2010;4
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2023;42
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2022;45
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2021;43
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2020;26
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2019;27
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2018;35
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2017;28
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2016;42
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2015;24
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2014;52
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2013;88
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2012;49
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2011;83
CASTILLA - LA MANCHA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2010;46
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2023;95
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2022;115
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2021;109
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2020;119
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2019;138
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2018;139
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2017;156
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2016;152
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2015;139
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2014;182
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2013;269
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2012;258
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2011;189
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Masculino;2010;165
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2023;5
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2022;15
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2021;6
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2020;13
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2019;13
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2018;4
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2017;15
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2016;8
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2015;8
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2014;18
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2013;21
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2012;28
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2011;8
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Femenino;2010;10
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2023;100
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2022;130
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2021;115
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2020;132
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2019;151
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2018;143
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2017;171
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2016;160
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2015;147
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2014;200
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2013;290
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2012;286
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2011;197
CASTILLA - LA MANCHA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2010;175
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2023;68
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2022;48
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2021;56
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2020;43
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2019;68
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2018;56
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2017;91
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2016;89
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2015;80
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2014;131
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2013;156
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2012;152
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2011;197
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2010;198
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2023;3
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2022;1
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2021;5
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2020;4
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2019;7
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2018;4
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2017;4
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2016;4
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2015;3
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2014;10
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2013;8
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2012;6
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2011;7
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2010;10
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2023;71
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2022;49
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2021;61
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2020;47
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2019;75
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2018;60
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2017;95
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2016;93
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2015;83
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2014;141
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2013;164
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2012;158
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2011;204
CASTILLA - LA MANCHA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2010;208
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2023;157
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2022;112
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2021;125
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2020;94
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2019;121
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2018;97
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2017;96
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2016;95
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2015;87
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2014;83
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2013;185
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2012;189
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2011;175
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Masculino;2010;156
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2023;9
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2022;15
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2021;5
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2020;11
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2019;12
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2018;17
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2017;9
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2016;11
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2015;12
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2014;16
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2013;18
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2012;25
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2011;13
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Femenino;2010;15
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2023;166
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2022;127
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2021;130
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2020;105
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2019;133
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2018;114
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2017;105
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2016;106
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2015;99
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2014;99
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2013;203
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2012;214
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2011;188
CASTILLA - LA MANCHA;5.3.-Robos con violencia o intimidación;Ambos sexos;2010;171
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2023;92
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2022;64
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2021;70
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2020;54
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2019;75
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2018;55
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2017;39
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2016;52
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2015;61
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2014;55
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2013;111
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2012;98
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2011;102
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Masculino;2010;103
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2023;4
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2022;2
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2021;0
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2020;2
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2019;5
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2018;9
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2017;1
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2016;4
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2015;6
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2014;7
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2013;7
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2012;14
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2011;6
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Femenino;2010;7
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2023;96
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2022;66
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2021;70
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2020;56
CASTILLA - LA MANCHA;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2019;80
