Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2020;163
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2019;191
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2018;185
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2017;275
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2016;248
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2015;294
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2014;264
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2013;221
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2012;201
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2011;213
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2010;226
TOTAL NACIONAL;3.4.-Pornografía de menores;2023;649
TOTAL NACIONAL;3.4.-Pornografía de menores;2022;467
TOTAL NACIONAL;3.4.-Pornografía de menores;2021;467
TOTAL NACIONAL;3.4.-Pornografía de menores;2020;453
TOTAL NACIONAL;3.4.-Pornografía de menores;2019;615
TOTAL NACIONAL;3.4.-Pornografía de menores;2018;677
TOTAL NACIONAL;3.4.-Pornografía de menores;2017;463
TOTAL NACIONAL;3.4.-Pornografía de menores;2016;441
TOTAL NACIONAL;3.4.-Pornografía de menores;2015;473
TOTAL NACIONAL;3.4.-Pornografía de menores;2014;456
TOTAL NACIONAL;3.4.-Pornografía de menores;2013;391
TOTAL NACIONAL;3.4.-Pornografía de menores;2012;506
TOTAL NACIONAL;3.4.-Pornografía de menores;2011;464
TOTAL NACIONAL;3.4.-Pornografía de menores;2010;504
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2023;1.535
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2022;1.123
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2021;1.128
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2020;962
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2019;1.068
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2018;955
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2017;981
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2016;964
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2015;1.092
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2014;1.215
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2013;1.205
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2012;1.139
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2011;1.303
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2010;1.380
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2023;2.655
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2022;2.509
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2021;2.472
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2020;2.339
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2019;1.549
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2018;1.687
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2017;1.787
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2016;1.586
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2015;2.170
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2014;2.920
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2013;2.817
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2012;2.926
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2011;2.560
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2010;1.093
TOTAL NACIONAL;5. PATRIMONIO;2023;204.374
TOTAL NACIONAL;5. PATRIMONIO;2022;179.947
TOTAL NACIONAL;5. PATRIMONIO;2021;151.436
TOTAL NACIONAL;5. PATRIMONIO;2020;139.280
TOTAL NACIONAL;5. PATRIMONIO;2019;144.958
TOTAL NACIONAL;5. PATRIMONIO;2018;143.192
TOTAL NACIONAL;5. PATRIMONIO;2017;137.764
TOTAL NACIONAL;5. PATRIMONIO;2016;139.669
TOTAL NACIONAL;5. PATRIMONIO;2015;145.876
TOTAL NACIONAL;5. PATRIMONIO;2014;176.396
TOTAL NACIONAL;5. PATRIMONIO;2013;195.566
TOTAL NACIONAL;5. PATRIMONIO;2012;189.877
TOTAL NACIONAL;5. PATRIMONIO;2011;184.811
TOTAL NACIONAL;5. PATRIMONIO;2010;137.368
TOTAL NACIONAL;5.1.-Hurtos;2023;89.492
TOTAL NACIONAL;5.1.-Hurtos;2022;74.111
TOTAL NACIONAL;5.1.-Hurtos;2021;57.256
TOTAL NACIONAL;5.1.-Hurtos;2020;49.103
TOTAL NACIONAL;5.1.-Hurtos;2019;58.955
TOTAL NACIONAL;5.1.-Hurtos;2018;59.652
TOTAL NACIONAL;5.1.-Hurtos;2017;56.846
TOTAL NACIONAL;5.1.-Hurtos;2016;56.696
TOTAL NACIONAL;5.1.-Hurtos;2015;57.447
TOTAL NACIONAL;5.1.-Hurtos;2014;68.509
TOTAL NACIONAL;5.1.-Hurtos;2013;72.864
TOTAL NACIONAL;5.1.-Hurtos;2012;68.234
TOTAL NACIONAL;5.1.-Hurtos;2011;62.864
TOTAL NACIONAL;5.1.-Hurtos;2010;33.639
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2023;30.866
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2022;28.274
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2021;25.263
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2020;25.748
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2019;29.401
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2018;30.314
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2017;31.454
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2016;33.077
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2015;36.420
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2014;45.249
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2013;56.230
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2012;55.473
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2011;56.959
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2010;50.266
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;6.974
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;5.948
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;4.928
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;3.971
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;5.402
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;5.534
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;5.549
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;5.851
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;5.941
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;6.884
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;8.924
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;10.091
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;11.379
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2010;8.455
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2023;8.722
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2022;8.249
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2021;8.012
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2020;8.563
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2019;8.049
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2018;8.662
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2017;9.584
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2016;10.259
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2015;10.764
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2014;13.513
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2013;16.437
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2012;14.494
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2011;11.082
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2010;9.730
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2023;7.697
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2022;6.828
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2021;6.116
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2020;6.515
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2019;6.070
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2018;5.798
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2017;6.445
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2016;6.702
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2015;7.002
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2014;8.016
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2013;9.601
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2012;9.653
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2011;10.064
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2010;9.520
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2023;20.790
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2022;18.478
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2021;15.567
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2020;14.160
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2019;18.253
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2018;15.491
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2017;15.143
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2016;15.417
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2015;15.444
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2014;18.258
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2013;22.152
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2012;23.475
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2011;23.075
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2010;21.621
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2023;12.246
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2022;11.104
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2021;9.095
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2020;8.029
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2019;7.725
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2018;6.395
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2017;6.563
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2016;6.901
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2015;6.944
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2014;8.538
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2013;10.175
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2012;11.235
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2011;10.452
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2010;10.397
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2023;1.413
