Umbral;Riesgo de pobreza;periodo;Total
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2019;13,6
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2018;14,6
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2017;15,7
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2016;15,5
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2015;15,9
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2014;15,9
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2013;13,9
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2012;14,4
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2011;13,8
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2010;13,8
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2009;13,2
Inferior al 50% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2008;13,1
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2023;3.939,9
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2022;4.177,9
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2021;4.773,2
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2020;4.463,1
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2019;4.272,0
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2018;4.238,0
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2017;4.841,0
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2016;4.917,2
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2015;5.128,8
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2014;4.889,8
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2013;4.316,5
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2012;4.461,6
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2011;3.998,9
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2010;4.067,2
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2009;3.710,7
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Población  en riesgo de pobreza (miles de personas);2008;3.361,5
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2023;8,3
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2022;8,9
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2021;10,2
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2020;9,5
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2019;9,2
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2018;9,2
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2017;10,5
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2016;10,7
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2015;11,2
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2014;10,6
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2013;9,3
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2012;9,6
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2011;8,6
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2010;8,8
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2009;8,1
Inferior al 40% de la mediana de los ingresos por unidad de consumo;Tasa de riesgo de pobreza (%);2008;7,4
