Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2020;2.001
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2019;2.120
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2018;1.895
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2017;1.809
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2016;1.829
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2015;1.683
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2014;1.685
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2013;1.552
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2012;1.429
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2011;1.558
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2010;1.600
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2023;7.611
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2022;7.567
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2021;7.410
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2020;6.831
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2019;7.288
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2018;7.630
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2017;7.915
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2016;8.043
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2015;9.814
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2014;10.506
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2013;10.331
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2012;10.424
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2011;9.087
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2010;7.877
TOTAL NACIONAL;5. PATRIMONIO;2023;1.846.821
TOTAL NACIONAL;5. PATRIMONIO;2022;1.747.464
TOTAL NACIONAL;5. PATRIMONIO;2021;1.434.698
TOTAL NACIONAL;5. PATRIMONIO;2020;1.304.424
TOTAL NACIONAL;5. PATRIMONIO;2019;1.707.144
TOTAL NACIONAL;5. PATRIMONIO;2018;1.664.242
TOTAL NACIONAL;5. PATRIMONIO;2017;1.593.930
TOTAL NACIONAL;5. PATRIMONIO;2016;1.572.967
