Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2020;242
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2019;276
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2018;206
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2017;333
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2016;292
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2015;358
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2014;286
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2013;253
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2012;197
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2011;173
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2010;244
TOTAL NACIONAL;3.4.-Pornografía de menores;2023;670
TOTAL NACIONAL;3.4.-Pornografía de menores;2022;464
TOTAL NACIONAL;3.4.-Pornografía de menores;2021;502
TOTAL NACIONAL;3.4.-Pornografía de menores;2020;450
TOTAL NACIONAL;3.4.-Pornografía de menores;2019;620
TOTAL NACIONAL;3.4.-Pornografía de menores;2018;668
TOTAL NACIONAL;3.4.-Pornografía de menores;2017;518
TOTAL NACIONAL;3.4.-Pornografía de menores;2016;477
TOTAL NACIONAL;3.4.-Pornografía de menores;2015;540
TOTAL NACIONAL;3.4.-Pornografía de menores;2014;425
TOTAL NACIONAL;3.4.-Pornografía de menores;2013;305
TOTAL NACIONAL;3.4.-Pornografía de menores;2012;363
TOTAL NACIONAL;3.4.-Pornografía de menores;2011;348
TOTAL NACIONAL;3.4.-Pornografía de menores;2010;483
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2023;1.977
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2022;1.432
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2021;1.332
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2020;1.273
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2019;1.415
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2018;1.258
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2017;1.243
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2016;1.292
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2015;1.177
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2014;1.246
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2013;1.208
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2012;1.049
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2011;1.169
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2010;1.250
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2023;7.043
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2022;7.055
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2021;6.970
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2020;6.397
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2019;6.846
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2018;7.089
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2017;7.401
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2016;7.465
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2015;8.794
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2014;9.435
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2013;9.143
