"ts","kind","script","caller","path","rows","cols"
"2025-09-22 09:42:56","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/raw_sep_encoding.csv",12,3,NA
"2025-09-22 09:42:56","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/raw_numeric_parse_samples.csv",7,4,NA
"2025-09-22 09:42:57","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/raw_file_logs.csv",12,4,NA
"2025-09-22 09:42:57","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/acciones_prioritarias.csv",8,3,NA
"2025-09-22 10:08:49","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/arope.csv",1632,5,"sep=;;enc=UTF-8"
"2025-09-22 10:08:49","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_arope.csv",5,1,NA
"2025-09-22 10:08:49","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_arope.csv",5,3,NA
"2025-09-22 10:08:49","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/crecimiento_pib.csv",180,3,"sep=;;enc=UTF-8"
"2025-09-22 10:08:49","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_crecimiento_pib.csv",3,1,NA
"2025-09-22 10:08:49","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_crecimiento_pib.csv",3,3,NA
"2025-09-22 10:08:50","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/detenciones_extranjeros_tipologia.csv",36960,5,"sep=;;enc=UTF-8"
"2025-09-22 10:08:50","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_detenciones_extranjeros_tipologia.csv",5,1,NA
"2025-09-22 10:08:50","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_detenciones_extranjeros_tipologia.csv",4,3,NA
"2025-09-22 10:08:51","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/detenciones_tipologia.csv",12320,4,"sep=;;enc=UTF-8"
"2025-09-22 10:08:51","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_detenciones_tipologia.csv",4,1,NA
"2025-09-22 10:08:51","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_detenciones_tipologia.csv",3,3,NA
"2025-09-22 10:08:51","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/epa_activos_16_29_trimestral.csv",168,5,"sep=;;enc=UTF-8"
"2025-09-22 10:08:51","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_epa_activos_16_29_trimestral.csv",5,1,NA
"2025-09-22 10:08:51","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_epa_activos_16_29_trimestral.csv",5,3,NA
"2025-09-22 10:08:52","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/estat_nama_10_pc_filtered_en.csv",14190,19,"sep=,;enc=UTF-8"
"2025-09-22 10:08:53","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_estat_nama_10_pc_filtered_en.csv",19,1,NA
"2025-09-22 10:08:53","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_estat_nama_10_pc_filtered_en.csv",18,3,NA
"2025-09-22 10:08:53","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/gini.csv",28,3,"sep=;;enc=UTF-8"
"2025-09-22 10:08:53","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_gini.csv",3,1,NA
"2025-09-22 10:08:53","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_gini.csv",3,3,NA
"2025-09-22 10:08:53","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/hechos_conocidos.csv",13552,4,"sep=;;enc=UTF-8"
"2025-09-22 10:08:53","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_hechos_conocidos.csv",4,1,NA
"2025-09-22 10:08:54","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_hechos_conocidos.csv",3,3,NA
"2025-09-22 10:08:54","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/hechos_esclarecidos.csv",13552,4,"sep=;;enc=UTF-8"
"2025-09-22 10:08:54","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_hechos_esclarecidos.csv",4,1,NA
"2025-09-22 10:08:54","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_hechos_esclarecidos.csv",3,3,NA
"2025-09-22 10:09:00","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/poblacion_espana.csv",384480,5,"sep=;;enc=UTF-8"
"2025-09-22 10:09:00","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_poblacion_espana.csv",5,1,NA
"2025-09-22 10:09:02","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_poblacion_espana.csv",4,3,NA
"2025-09-22 10:09:02","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/tasas_paro.csv",3666,4,"sep=;;enc=UTF-8"
"2025-09-22 10:09:02","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_tasas_paro.csv",4,1,NA
"2025-09-22 10:09:02","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_tasas_paro.csv",3,3,NA
"2025-09-22 10:09:02","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/umbral_pobreza.csv",128,4,"sep=;;enc=UTF-8"
"2025-09-22 10:09:02","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_umbral_pobreza.csv",4,1,NA
"2025-09-22 10:09:02","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_umbral_pobreza.csv",4,3,NA
"2025-09-22 10:09:02","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/resumen_raw.csv",12,12,NA
"2025-09-22 10:09:02","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/raw_sep_encoding.csv",12,3,NA
"2025-09-22 10:09:02","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/raw_numeric_parse_samples.csv",7,4,NA
"2025-09-22 10:09:02","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/raw_file_logs.csv",12,4,NA
"2025-09-22 10:09:02","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/acciones_prioritarias.csv",8,3,NA
"2025-09-22 10:09:09","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/arope.csv",1632,5,"sep=;;enc=UTF-8"
"2025-09-22 10:09:10","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_arope.csv",5,1,NA
"2025-09-22 10:09:10","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_arope.csv",5,3,NA
"2025-09-22 10:09:10","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/crecimiento_pib.csv",180,3,"sep=;;enc=UTF-8"
"2025-09-22 10:09:10","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_crecimiento_pib.csv",3,1,NA
"2025-09-22 10:09:10","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_crecimiento_pib.csv",3,3,NA
"2025-09-22 10:09:11","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/detenciones_extranjeros_tipologia.csv",36960,5,"sep=;;enc=UTF-8"
