nacionalidad,grupo_quinquenal_de_edad,sexo,periodo,total
Total,Todas las edades,Mujeres,1 de abril de 2011,
Total,Todas las edades,Mujeres,1 de enero de 2011,23.617.698
Total,Todas las edades,Mujeres,1 de octubre de 2010,
Total,Todas las edades,Mujeres,1 de julio de 2010,23.553.902
Total,Todas las edades,Mujeres,1 de abril de 2010,
Total,Todas las edades,Mujeres,1 de enero de 2010,23.504.349
Total,De 0 a 4 años,Total,1 de octubre de 2023,1.753.716
Total,De 0 a 4 años,Total,1 de julio de 2023,1.764.143
Total,De 0 a 4 años,Total,1 de abril de 2023,1.776.067
Total,De 0 a 4 años,Total,1 de enero de 2023,1.786.406
Total,De 0 a 4 años,Total,1 de octubre de 2022,1.798.879
Total,De 0 a 4 años,Total,1 de julio de 2022,1.809.205
Total,De 0 a 4 años,Total,1 de abril de 2022,1.818.092
Total,De 0 a 4 años,Total,1 de enero de 2022,1.832.025
Total,De 0 a 4 años,Total,1 de octubre de 2021,1.844.672
Total,De 0 a 4 años,Total,1 de julio de 2021,1.860.892
Total,De 0 a 4 años,Total,1 de abril de 2021,1.880.598
Total,De 0 a 4 años,Total,1 de enero de 2021,1.911.907
Total,De 0 a 4 años,Total,1 de octubre de 2020,
Total,De 0 a 4 años,Total,1 de julio de 2020,1.954.979
Total,De 0 a 4 años,Total,1 de abril de 2020,
Total,De 0 a 4 años,Total,1 de enero de 2020,1.997.210
Total,De 0 a 4 años,Total,1 de octubre de 2019,
Total,De 0 a 4 años,Total,1 de julio de 2019,2.019.440
Total,De 0 a 4 años,Total,1 de abril de 2019,
Total,De 0 a 4 años,Total,1 de enero de 2019,2.051.750
Total,De 0 a 4 años,Total,1 de octubre de 2018,
Total,De 0 a 4 años,Total,1 de julio de 2018,2.066.383
Total,De 0 a 4 años,Total,1 de abril de 2018,
Total,De 0 a 4 años,Total,1 de enero de 2018,2.093.119
Total,De 0 a 4 años,Total,1 de octubre de 2017,
Total,De 0 a 4 años,Total,1 de julio de 2017,2.108.910
Total,De 0 a 4 años,Total,1 de abril de 2017,
Total,De 0 a 4 años,Total,1 de enero de 2017,2.138.636
Total,De 0 a 4 años,Total,1 de octubre de 2016,
Total,De 0 a 4 años,Total,1 de julio de 2016,2.159.376
Total,De 0 a 4 años,Total,1 de abril de 2016,
Total,De 0 a 4 años,Total,1 de enero de 2016,2.192.080
Total,De 0 a 4 años,Total,1 de octubre de 2015,
Total,De 0 a 4 años,Total,1 de julio de 2015,2.214.821
Total,De 0 a 4 años,Total,1 de abril de 2015,
Total,De 0 a 4 años,Total,1 de enero de 2015,2.249.655
Total,De 0 a 4 años,Total,1 de octubre de 2014,
Total,De 0 a 4 años,Total,1 de julio de 2014,2.276.680
Total,De 0 a 4 años,Total,1 de abril de 2014,
Total,De 0 a 4 años,Total,1 de enero de 2014,2.315.647
