nacionalidad,grupo_quinquenal_de_edad,sexo,periodo,total
De Africa,De 85 a 89 años,Mujeres,1 de abril de 2018,
De Africa,De 85 a 89 años,Mujeres,1 de enero de 2018,434
De Africa,De 85 a 89 años,Mujeres,1 de octubre de 2017,
De Africa,De 85 a 89 años,Mujeres,1 de julio de 2017,408
De Africa,De 85 a 89 años,Mujeres,1 de abril de 2017,
De Africa,De 85 a 89 años,Mujeres,1 de enero de 2017,380
De Africa,De 85 a 89 años,Mujeres,1 de octubre de 2016,
De Africa,De 85 a 89 años,Mujeres,1 de julio de 2016,387
De Africa,De 85 a 89 años,Mujeres,1 de abril de 2016,
De Africa,De 85 a 89 años,Mujeres,1 de enero de 2016,372
De Africa,De 85 a 89 años,Mujeres,1 de octubre de 2015,
De Africa,De 85 a 89 años,Mujeres,1 de julio de 2015,305
De Africa,De 85 a 89 años,Mujeres,1 de abril de 2015,
De Africa,De 85 a 89 años,Mujeres,1 de enero de 2015,242
De Africa,De 85 a 89 años,Mujeres,1 de octubre de 2014,
De Africa,De 85 a 89 años,Mujeres,1 de julio de 2014,242
De Africa,De 85 a 89 años,Mujeres,1 de abril de 2014,
De Africa,De 85 a 89 años,Mujeres,1 de enero de 2014,246
De Africa,De 85 a 89 años,Mujeres,1 de octubre de 2013,
De Africa,De 85 a 89 años,Mujeres,1 de julio de 2013,248
De Africa,De 85 a 89 años,Mujeres,1 de abril de 2013,
De Africa,De 85 a 89 años,Mujeres,1 de enero de 2013,225
De Africa,De 85 a 89 años,Mujeres,1 de octubre de 2012,
De Africa,De 85 a 89 años,Mujeres,1 de julio de 2012,231
De Africa,De 85 a 89 años,Mujeres,1 de abril de 2012,
De Africa,De 85 a 89 años,Mujeres,1 de enero de 2012,219
De Africa,De 85 a 89 años,Mujeres,1 de octubre de 2011,
De Africa,De 85 a 89 años,Mujeres,1 de julio de 2011,202
De Africa,De 85 a 89 años,Mujeres,1 de abril de 2011,
De Africa,De 85 a 89 años,Mujeres,1 de enero de 2011,190
De Africa,De 85 a 89 años,Mujeres,1 de octubre de 2010,
De Africa,De 85 a 89 años,Mujeres,1 de julio de 2010,187
De Africa,De 85 a 89 años,Mujeres,1 de abril de 2010,
De Africa,De 85 a 89 años,Mujeres,1 de enero de 2010,177
De Africa,90 y más años,Total,1 de octubre de 2023,510
De Africa,90 y más años,Total,1 de julio de 2023,509
De Africa,90 y más años,Total,1 de abril de 2023,518
De Africa,90 y más años,Total,1 de enero de 2023,444
De Africa,90 y más años,Total,1 de octubre de 2022,460
De Africa,90 y más años,Total,1 de julio de 2022,468
De Africa,90 y más años,Total,1 de abril de 2022,483
De Africa,90 y más años,Total,1 de enero de 2022,407
De Africa,90 y más años,Total,1 de octubre de 2021,432
De Africa,90 y más años,Total,1 de julio de 2021,435
De Africa,90 y más años,Total,1 de abril de 2021,452
De Africa,90 y más años,Total,1 de enero de 2021,425
De Africa,90 y más años,Total,1 de octubre de 2020,
De Africa,90 y más años,Total,1 de julio de 2020,388
De Africa,90 y más años,Total,1 de abril de 2020,
De Africa,90 y más años,Total,1 de enero de 2020,332
De Africa,90 y más años,Total,1 de octubre de 2019,
De Africa,90 y más años,Total,1 de julio de 2019,336
De Africa,90 y más años,Total,1 de abril de 2019,
De Africa,90 y más años,Total,1 de enero de 2019,306
De Africa,90 y más años,Total,1 de octubre de 2018,
De Africa,90 y más años,Total,1 de julio de 2018,334
De Africa,90 y más años,Total,1 de abril de 2018,
De Africa,90 y más años,Total,1 de enero de 2018,311
De Africa,90 y más años,Total,1 de octubre de 2017,
De Africa,90 y más años,Total,1 de julio de 2017,308
De Africa,90 y más años,Total,1 de abril de 2017,
De Africa,90 y más años,Total,1 de enero de 2017,278
De Africa,90 y más años,Total,1 de octubre de 2016,
De Africa,90 y más años,Total,1 de julio de 2016,272
De Africa,90 y más años,Total,1 de abril de 2016,
De Africa,90 y más años,Total,1 de enero de 2016,252
De Africa,90 y más años,Total,1 de octubre de 2015,
De Africa,90 y más años,Total,1 de julio de 2015,232
De Africa,90 y más años,Total,1 de abril de 2015,
De Africa,90 y más años,Total,1 de enero de 2015,214
De Africa,90 y más años,Total,1 de octubre de 2014,
De Africa,90 y más años,Total,1 de julio de 2014,202
De Africa,90 y más años,Total,1 de abril de 2014,
De Africa,90 y más años,Total,1 de enero de 2014,184
De Africa,90 y más años,Total,1 de octubre de 2013,
De Africa,90 y más años,Total,1 de julio de 2013,192
De Africa,90 y más años,Total,1 de abril de 2013,
De Africa,90 y más años,Total,1 de enero de 2013,189
De Africa,90 y más años,Total,1 de octubre de 2012,
De Africa,90 y más años,Total,1 de julio de 2012,176
De Africa,90 y más años,Total,1 de abril de 2012,
De Africa,90 y más años,Total,1 de enero de 2012,165
De Africa,90 y más años,Total,1 de octubre de 2011,
De Africa,90 y más años,Total,1 de julio de 2011,179
De Africa,90 y más años,Total,1 de abril de 2011,
De Africa,90 y más años,Total,1 de enero de 2011,189
De Africa,90 y más años,Total,1 de octubre de 2010,
De Africa,90 y más años,Total,1 de julio de 2010,185
De Africa,90 y más años,Total,1 de abril de 2010,
De Africa,90 y más años,Total,1 de enero de 2010,176
De Africa,90 y más años,Hombres,1 de octubre de 2023,160
De Africa,90 y más años,Hombres,1 de julio de 2023,160
De Africa,90 y más años,Hombres,1 de abril de 2023,163
De Africa,90 y más años,Hombres,1 de enero de 2023,137
De Africa,90 y más años,Hombres,1 de octubre de 2022,137
De Africa,90 y más años,Hombres,1 de julio de 2022,139
De Africa,90 y más años,Hombres,1 de abril de 2022,142
De Africa,90 y más años,Hombres,1 de enero de 2022,123
De Africa,90 y más años,Hombres,1 de octubre de 2021,137
De Africa,90 y más años,Hombres,1 de julio de 2021,140
De Africa,90 y más años,Hombres,1 de abril de 2021,144
De Africa,90 y más años,Hombres,1 de enero de 2021,138
De Africa,90 y más años,Hombres,1 de octubre de 2020,
De Africa,90 y más años,Hombres,1 de julio de 2020,137
De Africa,90 y más años,Hombres,1 de abril de 2020,
De Africa,90 y más años,Hombres,1 de enero de 2020,130
De Africa,90 y más años,Hombres,1 de octubre de 2019,
De Africa,90 y más años,Hombres,1 de julio de 2019,129
De Africa,90 y más años,Hombres,1 de abril de 2019,
De Africa,90 y más años,Hombres,1 de enero de 2019,120
De Africa,90 y más años,Hombres,1 de octubre de 2018,
De Africa,90 y más años,Hombres,1 de julio de 2018,131
De Africa,90 y más años,Hombres,1 de abril de 2018,
De Africa,90 y más años,Hombres,1 de enero de 2018,123
De Africa,90 y más años,Hombres,1 de octubre de 2017,
De Africa,90 y más años,Hombres,1 de julio de 2017,121
De Africa,90 y más años,Hombres,1 de abril de 2017,
De Africa,90 y más años,Hombres,1 de enero de 2017,109
De Africa,90 y más años,Hombres,1 de octubre de 2016,
De Africa,90 y más años,Hombres,1 de julio de 2016,108
De Africa,90 y más años,Hombres,1 de abril de 2016,
De Africa,90 y más años,Hombres,1 de enero de 2016,105
De Africa,90 y más años,Hombres,1 de octubre de 2015,
De Africa,90 y más años,Hombres,1 de julio de 2015,95
De Africa,90 y más años,Hombres,1 de abril de 2015,
De Africa,90 y más años,Hombres,1 de enero de 2015,89
De Africa,90 y más años,Hombres,1 de octubre de 2014,
De Africa,90 y más años,Hombres,1 de julio de 2014,92
De Africa,90 y más años,Hombres,1 de abril de 2014,
De Africa,90 y más años,Hombres,1 de enero de 2014,83
De Africa,90 y más años,Hombres,1 de octubre de 2013,
De Africa,90 y más años,Hombres,1 de julio de 2013,83
De Africa,90 y más años,Hombres,1 de abril de 2013,
De Africa,90 y más años,Hombres,1 de enero de 2013,81
De Africa,90 y más años,Hombres,1 de octubre de 2012,
De Africa,90 y más años,Hombres,1 de julio de 2012,76
De Africa,90 y más años,Hombres,1 de abril de 2012,
De Africa,90 y más años,Hombres,1 de enero de 2012,71
De Africa,90 y más años,Hombres,1 de octubre de 2011,
De Africa,90 y más años,Hombres,1 de julio de 2011,75
De Africa,90 y más años,Hombres,1 de abril de 2011,
De Africa,90 y más años,Hombres,1 de enero de 2011,79
De Africa,90 y más años,Hombres,1 de octubre de 2010,
De Africa,90 y más años,Hombres,1 de julio de 2010,83
De Africa,90 y más años,Hombres,1 de abril de 2010,
De Africa,90 y más años,Hombres,1 de enero de 2010,84
De Africa,90 y más años,Mujeres,1 de octubre de 2023,350
De Africa,90 y más años,Mujeres,1 de julio de 2023,349
De Africa,90 y más años,Mujeres,1 de abril de 2023,355
De Africa,90 y más años,Mujeres,1 de enero de 2023,307
De Africa,90 y más años,Mujeres,1 de octubre de 2022,323
De Africa,90 y más años,Mujeres,1 de julio de 2022,329
De Africa,90 y más años,Mujeres,1 de abril de 2022,341
De Africa,90 y más años,Mujeres,1 de enero de 2022,284
De Africa,90 y más años,Mujeres,1 de octubre de 2021,295
De Africa,90 y más años,Mujeres,1 de julio de 2021,295
De Africa,90 y más años,Mujeres,1 de abril de 2021,308
De Africa,90 y más años,Mujeres,1 de enero de 2021,287
De Africa,90 y más años,Mujeres,1 de octubre de 2020,
De Africa,90 y más años,Mujeres,1 de julio de 2020,251
De Africa,90 y más años,Mujeres,1 de abril de 2020,
De Africa,90 y más años,Mujeres,1 de enero de 2020,202
De Africa,90 y más años,Mujeres,1 de octubre de 2019,
De Africa,90 y más años,Mujeres,1 de julio de 2019,207
De Africa,90 y más años,Mujeres,1 de abril de 2019,
De Africa,90 y más años,Mujeres,1 de enero de 2019,186
De Africa,90 y más años,Mujeres,1 de octubre de 2018,
De Africa,90 y más años,Mujeres,1 de julio de 2018,203
De Africa,90 y más años,Mujeres,1 de abril de 2018,
De Africa,90 y más años,Mujeres,1 de enero de 2018,188
De Africa,90 y más años,Mujeres,1 de octubre de 2017,
De Africa,90 y más años,Mujeres,1 de julio de 2017,187
De Africa,90 y más años,Mujeres,1 de abril de 2017,
De Africa,90 y más años,Mujeres,1 de enero de 2017,169
De Africa,90 y más años,Mujeres,1 de octubre de 2016,
De Africa,90 y más años,Mujeres,1 de julio de 2016,164
De Africa,90 y más años,Mujeres,1 de abril de 2016,
De Africa,90 y más años,Mujeres,1 de enero de 2016,147
De Africa,90 y más años,Mujeres,1 de octubre de 2015,
De Africa,90 y más años,Mujeres,1 de julio de 2015,137
De Africa,90 y más años,Mujeres,1 de abril de 2015,
De Africa,90 y más años,Mujeres,1 de enero de 2015,125
De Africa,90 y más años,Mujeres,1 de octubre de 2014,
De Africa,90 y más años,Mujeres,1 de julio de 2014,110
De Africa,90 y más años,Mujeres,1 de abril de 2014,
De Africa,90 y más años,Mujeres,1 de enero de 2014,101
De Africa,90 y más años,Mujeres,1 de octubre de 2013,
De Africa,90 y más años,Mujeres,1 de julio de 2013,109
De Africa,90 y más años,Mujeres,1 de abril de 2013,
De Africa,90 y más años,Mujeres,1 de enero de 2013,108
De Africa,90 y más años,Mujeres,1 de octubre de 2012,
De Africa,90 y más años,Mujeres,1 de julio de 2012,100
De Africa,90 y más años,Mujeres,1 de abril de 2012,
De Africa,90 y más años,Mujeres,1 de enero de 2012,94
De Africa,90 y más años,Mujeres,1 de octubre de 2011,
De Africa,90 y más años,Mujeres,1 de julio de 2011,104
De Africa,90 y más años,Mujeres,1 de abril de 2011,
De Africa,90 y más años,Mujeres,1 de enero de 2011,110
De Africa,90 y más años,Mujeres,1 de octubre de 2010,
De Africa,90 y más años,Mujeres,1 de julio de 2010,102
De Africa,90 y más años,Mujeres,1 de abril de 2010,
De Africa,90 y más años,Mujeres,1 de enero de 2010,91
Argelia,Todas las edades,Total,1 de octubre de 2023,72.595
Argelia,Todas las edades,Total,1 de julio de 2023,69.544
Argelia,Todas las edades,Total,1 de abril de 2023,68.610
Argelia,Todas las edades,Total,1 de enero de 2023,67.729
Argelia,Todas las edades,Total,1 de octubre de 2022,66.318
Argelia,Todas las edades,Total,1 de julio de 2022,64.079
Argelia,Todas las edades,Total,1 de abril de 2022,63.233
Argelia,Todas las edades,Total,1 de enero de 2022,62.292
Argelia,Todas las edades,Total,1 de octubre de 2021,62.074
Argelia,Todas las edades,Total,1 de julio de 2021,61.834
Argelia,Todas las edades,Total,1 de abril de 2021,62.550
Argelia,Todas las edades,Total,1 de enero de 2021,63.419
Argelia,Todas las edades,Total,1 de octubre de 2020,
Argelia,Todas las edades,Total,1 de julio de 2020,63.823
Argelia,Todas las edades,Total,1 de abril de 2020,
Argelia,Todas las edades,Total,1 de enero de 2020,62.891
Argelia,Todas las edades,Total,1 de octubre de 2019,
Argelia,Todas las edades,Total,1 de julio de 2019,60.777
Argelia,Todas las edades,Total,1 de abril de 2019,
Argelia,Todas las edades,Total,1 de enero de 2019,58.724
Argelia,Todas las edades,Total,1 de octubre de 2018,
Argelia,Todas las edades,Total,1 de julio de 2018,57.189
Argelia,Todas las edades,Total,1 de abril de 2018,
Argelia,Todas las edades,Total,1 de enero de 2018,56.445
Argelia,Todas las edades,Total,1 de octubre de 2017,
Argelia,Todas las edades,Total,1 de julio de 2017,55.513
Argelia,Todas las edades,Total,1 de abril de 2017,
Argelia,Todas las edades,Total,1 de enero de 2017,55.498
Argelia,Todas las edades,Total,1 de octubre de 2016,
Argelia,Todas las edades,Total,1 de julio de 2016,54.979
Argelia,Todas las edades,Total,1 de abril de 2016,
Argelia,Todas las edades,Total,1 de enero de 2016,56.066
Argelia,Todas las edades,Total,1 de octubre de 2015,
Argelia,Todas las edades,Total,1 de julio de 2015,55.809
Argelia,Todas las edades,Total,1 de abril de 2015,
Argelia,Todas las edades,Total,1 de enero de 2015,55.985
Argelia,Todas las edades,Total,1 de octubre de 2014,
Argelia,Todas las edades,Total,1 de julio de 2014,56.169
Argelia,Todas las edades,Total,1 de abril de 2014,
Argelia,Todas las edades,Total,1 de enero de 2014,56.960
Argelia,Todas las edades,Total,1 de octubre de 2013,
Argelia,Todas las edades,Total,1 de julio de 2013,57.979
Argelia,Todas las edades,Total,1 de abril de 2013,
Argelia,Todas las edades,Total,1 de enero de 2013,59.309
Argelia,Todas las edades,Total,1 de octubre de 2012,
Argelia,Todas las edades,Total,1 de julio de 2012,58.999
Argelia,Todas las edades,Total,1 de abril de 2012,
Argelia,Todas las edades,Total,1 de enero de 2012,59.532
Argelia,Todas las edades,Total,1 de octubre de 2011,
Argelia,Todas las edades,Total,1 de julio de 2011,59.531
Argelia,Todas las edades,Total,1 de abril de 2011,
Argelia,Todas las edades,Total,1 de enero de 2011,59.849
Argelia,Todas las edades,Total,1 de octubre de 2010,
Argelia,Todas las edades,Total,1 de julio de 2010,59.574
Argelia,Todas las edades,Total,1 de abril de 2010,
Argelia,Todas las edades,Total,1 de enero de 2010,59.352
Argelia,Todas las edades,Hombres,1 de octubre de 2023,46.206
Argelia,Todas las edades,Hombres,1 de julio de 2023,44.204
Argelia,Todas las edades,Hombres,1 de abril de 2023,43.529
Argelia,Todas las edades,Hombres,1 de enero de 2023,42.955
Argelia,Todas las edades,Hombres,1 de octubre de 2022,42.050
Argelia,Todas las edades,Hombres,1 de julio de 2022,40.711
Argelia,Todas las edades,Hombres,1 de abril de 2022,40.129
Argelia,Todas las edades,Hombres,1 de enero de 2022,39.488
Argelia,Todas las edades,Hombres,1 de octubre de 2021,39.254
Argelia,Todas las edades,Hombres,1 de julio de 2021,38.950
Argelia,Todas las edades,Hombres,1 de abril de 2021,39.269
Argelia,Todas las edades,Hombres,1 de enero de 2021,39.686
Argelia,Todas las edades,Hombres,1 de octubre de 2020,
Argelia,Todas las edades,Hombres,1 de julio de 2020,39.706
Argelia,Todas las edades,Hombres,1 de abril de 2020,
Argelia,Todas las edades,Hombres,1 de enero de 2020,38.930
Argelia,Todas las edades,Hombres,1 de octubre de 2019,
Argelia,Todas las edades,Hombres,1 de julio de 2019,37.533
Argelia,Todas las edades,Hombres,1 de abril de 2019,
Argelia,Todas las edades,Hombres,1 de enero de 2019,36.063
Argelia,Todas las edades,Hombres,1 de octubre de 2018,
Argelia,Todas las edades,Hombres,1 de julio de 2018,35.060
Argelia,Todas las edades,Hombres,1 de abril de 2018,
Argelia,Todas las edades,Hombres,1 de enero de 2018,34.530
Argelia,Todas las edades,Hombres,1 de octubre de 2017,
Argelia,Todas las edades,Hombres,1 de julio de 2017,34.123
Argelia,Todas las edades,Hombres,1 de abril de 2017,
Argelia,Todas las edades,Hombres,1 de enero de 2017,34.191
Argelia,Todas las edades,Hombres,1 de octubre de 2016,
Argelia,Todas las edades,Hombres,1 de julio de 2016,34.038
Argelia,Todas las edades,Hombres,1 de abril de 2016,
Argelia,Todas las edades,Hombres,1 de enero de 2016,34.852
Argelia,Todas las edades,Hombres,1 de octubre de 2015,
Argelia,Todas las edades,Hombres,1 de julio de 2015,34.954
Argelia,Todas las edades,Hombres,1 de abril de 2015,
Argelia,Todas las edades,Hombres,1 de enero de 2015,35.139
Argelia,Todas las edades,Hombres,1 de octubre de 2014,
Argelia,Todas las edades,Hombres,1 de julio de 2014,35.437
Argelia,Todas las edades,Hombres,1 de abril de 2014,
Argelia,Todas las edades,Hombres,1 de enero de 2014,36.165
Argelia,Todas las edades,Hombres,1 de octubre de 2013,
Argelia,Todas las edades,Hombres,1 de julio de 2013,37.265
Argelia,Todas las edades,Hombres,1 de abril de 2013,
Argelia,Todas las edades,Hombres,1 de enero de 2013,38.549
Argelia,Todas las edades,Hombres,1 de octubre de 2012,
Argelia,Todas las edades,Hombres,1 de julio de 2012,38.774
Argelia,Todas las edades,Hombres,1 de abril de 2012,
Argelia,Todas las edades,Hombres,1 de enero de 2012,39.452
Argelia,Todas las edades,Hombres,1 de octubre de 2011,
Argelia,Todas las edades,Hombres,1 de julio de 2011,39.970
Argelia,Todas las edades,Hombres,1 de abril de 2011,
Argelia,Todas las edades,Hombres,1 de enero de 2011,40.577
Argelia,Todas las edades,Hombres,1 de octubre de 2010,
Argelia,Todas las edades,Hombres,1 de julio de 2010,40.700
Argelia,Todas las edades,Hombres,1 de abril de 2010,
Argelia,Todas las edades,Hombres,1 de enero de 2010,40.832
Argelia,Todas las edades,Mujeres,1 de octubre de 2023,26.389
Argelia,Todas las edades,Mujeres,1 de julio de 2023,25.340
Argelia,Todas las edades,Mujeres,1 de abril de 2023,25.081
Argelia,Todas las edades,Mujeres,1 de enero de 2023,24.774
Argelia,Todas las edades,Mujeres,1 de octubre de 2022,24.268
Argelia,Todas las edades,Mujeres,1 de julio de 2022,23.368
Argelia,Todas las edades,Mujeres,1 de abril de 2022,23.104
Argelia,Todas las edades,Mujeres,1 de enero de 2022,22.804
Argelia,Todas las edades,Mujeres,1 de octubre de 2021,22.820
Argelia,Todas las edades,Mujeres,1 de julio de 2021,22.884
Argelia,Todas las edades,Mujeres,1 de abril de 2021,23.281
Argelia,Todas las edades,Mujeres,1 de enero de 2021,23.733
Argelia,Todas las edades,Mujeres,1 de octubre de 2020,
Argelia,Todas las edades,Mujeres,1 de julio de 2020,24.117
Argelia,Todas las edades,Mujeres,1 de abril de 2020,
Argelia,Todas las edades,Mujeres,1 de enero de 2020,23.961
Argelia,Todas las edades,Mujeres,1 de octubre de 2019,
Argelia,Todas las edades,Mujeres,1 de julio de 2019,23.244
Argelia,Todas las edades,Mujeres,1 de abril de 2019,
Argelia,Todas las edades,Mujeres,1 de enero de 2019,22.661
Argelia,Todas las edades,Mujeres,1 de octubre de 2018,
Argelia,Todas las edades,Mujeres,1 de julio de 2018,22.129
Argelia,Todas las edades,Mujeres,1 de abril de 2018,
Argelia,Todas las edades,Mujeres,1 de enero de 2018,21.915
Argelia,Todas las edades,Mujeres,1 de octubre de 2017,
Argelia,Todas las edades,Mujeres,1 de julio de 2017,21.390
Argelia,Todas las edades,Mujeres,1 de abril de 2017,
Argelia,Todas las edades,Mujeres,1 de enero de 2017,21.307
Argelia,Todas las edades,Mujeres,1 de octubre de 2016,
Argelia,Todas las edades,Mujeres,1 de julio de 2016,20.941
Argelia,Todas las edades,Mujeres,1 de abril de 2016,
Argelia,Todas las edades,Mujeres,1 de enero de 2016,21.214
Argelia,Todas las edades,Mujeres,1 de octubre de 2015,
Argelia,Todas las edades,Mujeres,1 de julio de 2015,20.855
Argelia,Todas las edades,Mujeres,1 de abril de 2015,
Argelia,Todas las edades,Mujeres,1 de enero de 2015,20.846
Argelia,Todas las edades,Mujeres,1 de octubre de 2014,
Argelia,Todas las edades,Mujeres,1 de julio de 2014,20.732
Argelia,Todas las edades,Mujeres,1 de abril de 2014,
Argelia,Todas las edades,Mujeres,1 de enero de 2014,20.795
Argelia,Todas las edades,Mujeres,1 de octubre de 2013,
Argelia,Todas las edades,Mujeres,1 de julio de 2013,20.714
Argelia,Todas las edades,Mujeres,1 de abril de 2013,
Argelia,Todas las edades,Mujeres,1 de enero de 2013,20.760
Argelia,Todas las edades,Mujeres,1 de octubre de 2012,
Argelia,Todas las edades,Mujeres,1 de julio de 2012,20.225
Argelia,Todas las edades,Mujeres,1 de abril de 2012,
Argelia,Todas las edades,Mujeres,1 de enero de 2012,20.080
Argelia,Todas las edades,Mujeres,1 de octubre de 2011,
Argelia,Todas las edades,Mujeres,1 de julio de 2011,19.561
Argelia,Todas las edades,Mujeres,1 de abril de 2011,
Argelia,Todas las edades,Mujeres,1 de enero de 2011,19.273
Argelia,Todas las edades,Mujeres,1 de octubre de 2010,
Argelia,Todas las edades,Mujeres,1 de julio de 2010,18.874
Argelia,Todas las edades,Mujeres,1 de abril de 2010,
Argelia,Todas las edades,Mujeres,1 de enero de 2010,18.520
Argelia,De 0 a 4 años,Total,1 de octubre de 2023,3.655
Argelia,De 0 a 4 años,Total,1 de julio de 2023,3.609
Argelia,De 0 a 4 años,Total,1 de abril de 2023,3.675
Argelia,De 0 a 4 años,Total,1 de enero de 2023,3.702
Argelia,De 0 a 4 años,Total,1 de octubre de 2022,3.708
Argelia,De 0 a 4 años,Total,1 de julio de 2022,3.725
Argelia,De 0 a 4 años,Total,1 de abril de 2022,3.725
Argelia,De 0 a 4 años,Total,1 de enero de 2022,3.730
Argelia,De 0 a 4 años,Total,1 de octubre de 2021,3.776
Argelia,De 0 a 4 años,Total,1 de julio de 2021,3.894
Argelia,De 0 a 4 años,Total,1 de abril de 2021,4.025
Argelia,De 0 a 4 años,Total,1 de enero de 2021,4.211
Argelia,De 0 a 4 años,Total,1 de octubre de 2020,
Argelia,De 0 a 4 años,Total,1 de julio de 2020,4.427
Argelia,De 0 a 4 años,Total,1 de abril de 2020,
Argelia,De 0 a 4 años,Total,1 de enero de 2020,4.621
Argelia,De 0 a 4 años,Total,1 de octubre de 2019,
Argelia,De 0 a 4 años,Total,1 de julio de 2019,4.605
Argelia,De 0 a 4 años,Total,1 de abril de 2019,
Argelia,De 0 a 4 años,Total,1 de enero de 2019,4.605
Argelia,De 0 a 4 años,Total,1 de octubre de 2018,
Argelia,De 0 a 4 años,Total,1 de julio de 2018,4.566
Argelia,De 0 a 4 años,Total,1 de abril de 2018,
Argelia,De 0 a 4 años,Total,1 de enero de 2018,4.675
Argelia,De 0 a 4 años,Total,1 de octubre de 2017,
Argelia,De 0 a 4 años,Total,1 de julio de 2017,4.653
Argelia,De 0 a 4 años,Total,1 de abril de 2017,
Argelia,De 0 a 4 años,Total,1 de enero de 2017,4.726
Argelia,De 0 a 4 años,Total,1 de octubre de 2016,
Argelia,De 0 a 4 años,Total,1 de julio de 2016,4.729
Argelia,De 0 a 4 años,Total,1 de abril de 2016,
Argelia,De 0 a 4 años,Total,1 de enero de 2016,4.964
Argelia,De 0 a 4 años,Total,1 de octubre de 2015,
Argelia,De 0 a 4 años,Total,1 de julio de 2015,5.036
Argelia,De 0 a 4 años,Total,1 de abril de 2015,
Argelia,De 0 a 4 años,Total,1 de enero de 2015,5.273
Argelia,De 0 a 4 años,Total,1 de octubre de 2014,
Argelia,De 0 a 4 años,Total,1 de julio de 2014,5.604
Argelia,De 0 a 4 años,Total,1 de abril de 2014,
Argelia,De 0 a 4 años,Total,1 de enero de 2014,5.940
Argelia,De 0 a 4 años,Total,1 de octubre de 2013,
Argelia,De 0 a 4 años,Total,1 de julio de 2013,6.294
Argelia,De 0 a 4 años,Total,1 de abril de 2013,
Argelia,De 0 a 4 años,Total,1 de enero de 2013,6.704
Argelia,De 0 a 4 años,Total,1 de octubre de 2012,
Argelia,De 0 a 4 años,Total,1 de julio de 2012,6.807
Argelia,De 0 a 4 años,Total,1 de abril de 2012,
Argelia,De 0 a 4 años,Total,1 de enero de 2012,6.913
Argelia,De 0 a 4 años,Total,1 de octubre de 2011,
Argelia,De 0 a 4 años,Total,1 de julio de 2011,6.935
Argelia,De 0 a 4 años,Total,1 de abril de 2011,
Argelia,De 0 a 4 años,Total,1 de enero de 2011,6.997
Argelia,De 0 a 4 años,Total,1 de octubre de 2010,
Argelia,De 0 a 4 años,Total,1 de julio de 2010,6.785
Argelia,De 0 a 4 años,Total,1 de abril de 2010,
Argelia,De 0 a 4 años,Total,1 de enero de 2010,6.559
Argelia,De 0 a 4 años,Hombres,1 de octubre de 2023,1.858
Argelia,De 0 a 4 años,Hombres,1 de julio de 2023,1.836
Argelia,De 0 a 4 años,Hombres,1 de abril de 2023,1.887
Argelia,De 0 a 4 años,Hombres,1 de enero de 2023,1.911
Argelia,De 0 a 4 años,Hombres,1 de octubre de 2022,1.915
Argelia,De 0 a 4 años,Hombres,1 de julio de 2022,1.922
Argelia,De 0 a 4 años,Hombres,1 de abril de 2022,1.910
Argelia,De 0 a 4 años,Hombres,1 de enero de 2022,1.912
Argelia,De 0 a 4 años,Hombres,1 de octubre de 2021,1.940
Argelia,De 0 a 4 años,Hombres,1 de julio de 2021,1.996
Argelia,De 0 a 4 años,Hombres,1 de abril de 2021,2.057
Argelia,De 0 a 4 años,Hombres,1 de enero de 2021,2.146
Argelia,De 0 a 4 años,Hombres,1 de octubre de 2020,
Argelia,De 0 a 4 años,Hombres,1 de julio de 2020,2.253
Argelia,De 0 a 4 años,Hombres,1 de abril de 2020,
Argelia,De 0 a 4 años,Hombres,1 de enero de 2020,2.340
Argelia,De 0 a 4 años,Hombres,1 de octubre de 2019,
Argelia,De 0 a 4 años,Hombres,1 de julio de 2019,2.322
Argelia,De 0 a 4 años,Hombres,1 de abril de 2019,
Argelia,De 0 a 4 años,Hombres,1 de enero de 2019,2.345
Argelia,De 0 a 4 años,Hombres,1 de octubre de 2018,
Argelia,De 0 a 4 años,Hombres,1 de julio de 2018,2.338
Argelia,De 0 a 4 años,Hombres,1 de abril de 2018,
Argelia,De 0 a 4 años,Hombres,1 de enero de 2018,2.386
Argelia,De 0 a 4 años,Hombres,1 de octubre de 2017,
Argelia,De 0 a 4 años,Hombres,1 de julio de 2017,2.409
Argelia,De 0 a 4 años,Hombres,1 de abril de 2017,
Argelia,De 0 a 4 años,Hombres,1 de enero de 2017,2.463
Argelia,De 0 a 4 años,Hombres,1 de octubre de 2016,
Argelia,De 0 a 4 años,Hombres,1 de julio de 2016,2.468
Argelia,De 0 a 4 años,Hombres,1 de abril de 2016,
Argelia,De 0 a 4 años,Hombres,1 de enero de 2016,2.617
Argelia,De 0 a 4 años,Hombres,1 de octubre de 2015,
Argelia,De 0 a 4 años,Hombres,1 de julio de 2015,2.694
Argelia,De 0 a 4 años,Hombres,1 de abril de 2015,
Argelia,De 0 a 4 años,Hombres,1 de enero de 2015,2.833
Argelia,De 0 a 4 años,Hombres,1 de octubre de 2014,
Argelia,De 0 a 4 años,Hombres,1 de julio de 2014,2.961
Argelia,De 0 a 4 años,Hombres,1 de abril de 2014,
Argelia,De 0 a 4 años,Hombres,1 de enero de 2014,3.129
Argelia,De 0 a 4 años,Hombres,1 de octubre de 2013,
Argelia,De 0 a 4 años,Hombres,1 de julio de 2013,3.347
Argelia,De 0 a 4 años,Hombres,1 de abril de 2013,
Argelia,De 0 a 4 años,Hombres,1 de enero de 2013,3.563
Argelia,De 0 a 4 años,Hombres,1 de octubre de 2012,
