edad,sexo,periodo,total
De 16 a 19 años,Mujeres,2015T2,"73,23"
De 16 a 19 años,Mujeres,2015T1,"72,46"
De 16 a 19 años,Mujeres,2014T4,"72,04"
De 16 a 19 años,Mujeres,2014T3,"71,38"
De 16 a 19 años,Mujeres,2014T2,"72,75"
De 16 a 19 años,Mujeres,2014T1,"72,72"
De 16 a 19 años,Mujeres,2013T4,"76,43"
De 16 a 19 años,Mujeres,2013T3,"73,93"
De 16 a 19 años,Mujeres,2013T2,"79,11"
De 16 a 19 años,Mujeres,2013T1,"76,18"
De 16 a 19 años,Mujeres,2012T4,"75,06"
De 16 a 19 años,Mujeres,2012T3,"72,69"
De 16 a 19 años,Mujeres,2012T2,"73,46"
De 16 a 19 años,Mujeres,2012T1,"71,94"
De 16 a 19 años,Mujeres,2011T4,"69,11"
De 16 a 19 años,Mujeres,2011T3,"58,92"
De 16 a 19 años,Mujeres,2011T2,"60,79"
De 16 a 19 años,Mujeres,2011T1,"67,02"
De 16 a 19 años,Mujeres,2010T4,"65,42"
De 16 a 19 años,Mujeres,2010T3,"61,42"
De 16 a 19 años,Mujeres,2010T2,"64,38"
De 16 a 19 años,Mujeres,2010T1,"60,48"
De 20 a 24 años,Ambos sexos,2023T4,"25,72"
De 20 a 24 años,Ambos sexos,2023T3,"25,14"
De 20 a 24 años,Ambos sexos,2023T2,"24,94"
De 20 a 24 años,Ambos sexos,2023T1,"26,86"
De 20 a 24 años,Ambos sexos,2022T4,"26,47"
De 20 a 24 años,Ambos sexos,2022T3,"27,25"
De 20 a 24 años,Ambos sexos,2022T2,"24,81"
De 20 a 24 años,Ambos sexos,2022T1,"26,82"
De 20 a 24 años,Ambos sexos,2021T4,"27,20"
De 20 a 24 años,Ambos sexos,2021T3,"28,83"
De 20 a 24 años,Ambos sexos,2021T2,"35,02"
De 20 a 24 años,Ambos sexos,2021T1,"36,28"
De 20 a 24 años,Ambos sexos,2020T4,"36,52"
De 20 a 24 años,Ambos sexos,2020T3,"37,18"
De 20 a 24 años,Ambos sexos,2020T2,"36,89"
De 20 a 24 años,Ambos sexos,2020T1,"30,12"
De 20 a 24 años,Ambos sexos,2019T4,"27,72"
De 20 a 24 años,Ambos sexos,2019T3,"29,28"
De 20 a 24 años,Ambos sexos,2019T2,"30,22"
De 20 a 24 años,Ambos sexos,2019T1,"32,00"
De 20 a 24 años,Ambos sexos,2018T4,"30,78"
De 20 a 24 años,Ambos sexos,2018T3,"30,10"
De 20 a 24 años,Ambos sexos,2018T2,"30,97"
De 20 a 24 años,Ambos sexos,2018T1,"32,37"
De 20 a 24 años,Ambos sexos,2017T4,"33,95"
De 20 a 24 años,Ambos sexos,2017T3,"32,69"
De 20 a 24 años,Ambos sexos,2017T2,"36,15"
De 20 a 24 años,Ambos sexos,2017T1,"38,37"
De 20 a 24 años,Ambos sexos,2016T4,"39,83"
