ano,tipo,valor
2016,5.2.2.-Robos con fuerza en viviendas,13715
2016,5.2.3.-Robos con fuerza en establecimientos,7900
2016,5.3.-Robos con violencia o intimidación,16355
2016,5.3.1.-Robos con violencia en vía pública,6737
2016,5.3.2.-Robos con violencia en viviendas,1169
2016,5.3.3.-Robos con violencia en establecimientos,2625
2016,5.4.-Sustracción de vehículos,11878
2016,5.5.-Estafas,37910
2016,5.5.1.-Estafas informáticas,11494
2016,5.6.-Daños,26196
2016,5.7.-Contra la propiedad intelectual/industrial,1713
2016,5.8.-Blanqueo de capitales,244
2016,5.9.-Otros contra el patrimonio,23593
2016,6. SEGURIDAD COLECTIVA,53781
2016,6.1.-Tráfico de drogas,11700
2016,6.2.-Contra la seguridad vial,40694
2016,6.3.-Otros contra la seguridad colectiva,1387
2016,7. FALSEDADES,12378
2016,8. ADMÓN. PÚBLICA,418
2016,9. ADMÓN. JUSTICIA,26178
2016,TOTAL INFRACCIONES PENALES,641353
2017,1. CONTRA LAS PERSONAS,150363
2017,1.1.-Homicidios dolosos/asesinatos,1029
2017,1.1.1.-Homicidios dolosos/asesinatos consumados,236
2017,1.2.-Lesiones,78624
2017,1.3.-Malos tratos ámbito familiar,68589
2017,1.4.-Otros contra las personas,2121
2017,10. ORDEN PÚBLICO,18235
2017,11. LEGISLACIÓN ESPECIAL,152
2017,12. OTRAS INFRACCIONES PENALES,6942
2017,2. CONTRA LA LIBERTAD,93015
2017,2.1.-Malos tratos habituales en el ámbito familiar,11379
2017,2.2.-Otros contra la libertad,81636
2017,3. LIBERTAD SEXUAL,8894
2017,3.1.-Agresión sexual,5040
2017,3.2.-Agresión sexual con penetración,1760
2017,3.3.-Corrupción de menores o incapacitados,333
2017,3.4.-Pornografía de menores,518
2017,3.5.-Otros contra la libertad sexual,1243
2017,4. RELACIONES FAMILIARES,7401
2017,5. PATRIMONIO,274547
2017,5.1.-Hurtos,109895
2017,5.2.-Robos con fuerza en las cosas,43532
2017,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,10239
2017,5.2.2.-Robos con fuerza en viviendas,13030
2017,5.2.3.-Robos con fuerza en establecimientos,7789
