sexo,edad,tasa_de_riesgo_de_pobreza_o_exclusion_social_y_sus_componentes,periodo,total
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2018,"7,3"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2017,"9,6"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2016,"11,1"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2015,"11,6"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2014,"14,2"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2013,"13,4"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2012,"11,8"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2011,"11,4"
Ambos sexos,Menores de 16 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2010,"9,1"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2023,"31,2"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2022,"30,2"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2021,"33,5"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2020,"30,3"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2019,"31,7"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2018,"33,8"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2017,"34,8"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2016,"37,6"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2015,"38,2"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2014,"36,4"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2013,"33,0"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2012,"33,5"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2011,"30,4"
Ambos sexos,De 16 a 29 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2010,"27,8"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2023,"21,4"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2022,"22,3"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2021,"24,6"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2020,"22,7"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2019,"26,5"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2018,"28,3"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2017,"28,5"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2016,"29,6"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2015,"29,2"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2014,"27,6"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2013,"24,2"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2012,"25,3"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2011,"22,3"
Ambos sexos,De 16 a 29 años,En riesgo de pobreza (renta año anterior a la entrevista),2010,"21,4"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2023,"11,5"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2022,"10,1"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2021,"9,9"
