ano,tipo,total
2016,5.6.-danos,26195
2016,5.7.-contra la propiedad intelectual/industrial,1713
2016,5.8.-blanqueo de capitales,233
2016,5.9.-otros contra el patrimonio,23570
2016,6. seguridad colectiva,53768
2016,6.1.-trafico de drogas,11688
2016,6.2.-contra la seguridad vial,40693
2016,6.3.-otros contra la seguridad colectiva,1387
2016,7. falsedades,11980
2016,8. admon. publica,414
2016,9. admon. justicia,26155
2016,total infracciones penales,640078
2017,1. contra las personas,150244
2017,1.1.-homicidios dolosos/asesinatos,1028
2017,1.1.1.-homicidios dolosos/asesinatos consumados,235
2017,1.2.-lesiones,78612
2017,1.3.-malos tratos ambito familiar,68483
2017,1.4.-otros contra las personas,2121
2017,10. orden publico,18232
2017,11. legislacion especial,152
2017,12. otras infracciones penales,6935
2017,2. contra la libertad,92927
2017,2.1.-malos tratos habituales en el ambito familiar,11367
2017,2.2.-otros contra la libertad,81560
2017,3. libertad sexual,8867
2017,3.1.-agresion sexual,5026
2017,3.2.-agresion sexual con penetracion,1749
2017,3.3.-corrupcion de menores o incapacitados,333
2017,3.4.-pornografia de menores,517
2017,3.5.-otros contra la libertad sexual,1242
2017,4. relaciones familiares,7338
2017,5. patrimonio,273948
2017,5.1.-hurtos,109876
2017,5.2.-robos con fuerza en las cosas,43523
2017,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10238
2017,5.2.2.-robos con fuerza en viviendas,13029
2017,5.2.3.-robos con fuerza en establecimientos,7787
2017,5.3.-robos con violencia o intimidacion,16047
2017,5.3.1.-robos con violencia en via publica,6461
2017,5.3.2.-robos con violencia en viviendas,1119
2017,5.3.3.-robos con violencia en establecimientos,2901
2017,5.4.-sustraccion de vehiculos,11825
2017,5.5.-estafas,38826
2017,5.5.1.-estafas informaticas,12688
2017,5.6.-danos,27280
2017,5.7.-contra la propiedad intelectual/industrial,1446
2017,5.8.-blanqueo de capitales,232
2017,5.9.-otros contra el patrimonio,24893
2017,6. seguridad colectiva,54609
2017,6.1.-trafico de drogas,12116
2017,6.2.-contra la seguridad vial,40882
2017,6.3.-otros contra la seguridad colectiva,1611
2017,7. falsedades,12211
2017,8. admon. publica,531
2017,9. admon. justicia,27329
2017,total infracciones penales,653323
2018,1. contra las personas,153398
2018,1.1.-homicidios dolosos/asesinatos,1007
2018,1.1.1.-homicidios dolosos/asesinatos consumados,226
2018,1.2.-lesiones,78206
2018,1.3.-malos tratos ambito familiar,71297
2018,1.4.-otros contra las personas,2888
2018,10. orden publico,18779
2018,11. legislacion especial,193
2018,12. otras infracciones penales,6766
2018,2. contra la libertad,92904
2018,2.1.-malos tratos habituales en el ambito familiar,11337
2018,2.2.-otros contra la libertad,81567
2018,3. libertad sexual,10649
2018,3.1.-agresion sexual,6211
2018,3.2.-agresion sexual con penetracion,2311
2018,3.3.-corrupcion de menores o incapacitados,206
2018,3.4.-pornografia de menores,664
2018,3.5.-otros contra la libertad sexual,1257
2018,4. relaciones familiares,7029
2018,5. patrimonio,280567
2018,5.1.-hurtos,109897
2018,5.2.-robos con fuerza en las cosas,40362
2018,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,8272
2018,5.2.2.-robos con fuerza en viviendas,12028
2018,5.2.3.-robos con fuerza en establecimientos,7004
2018,5.3.-robos con violencia o intimidacion,16039
2018,5.3.1.-robos con violencia en via publica,5993
2018,5.3.2.-robos con violencia en viviendas,1153
2018,5.3.3.-robos con violencia en establecimientos,2954
2018,5.4.-sustraccion de vehiculos,10918
2018,5.5.-estafas,45780
2018,5.5.1.-estafas informaticas,15377
2018,5.6.-danos,26845
2018,5.7.-contra la propiedad intelectual/industrial,2020
2018,5.8.-blanqueo de capitales,251
2018,5.9.-otros contra el patrimonio,28455
2018,6. seguridad colectiva,59213
2018,6.1.-trafico de drogas,13130
2018,6.2.-contra la seguridad vial,44382
2018,6.3.-otros contra la seguridad colectiva,1701
2018,7. falsedades,13744
2018,8. admon. publica,446
2018,9. admon. justicia,28824
2018,total infracciones penales,672512
2019,1. contra las personas,159753
2019,1.1.-homicidios dolosos/asesinatos,1088
2019,1.1.1.-homicidios dolosos/asesinatos consumados,253
2019,1.2.-lesiones,79521
2019,1.3.-malos tratos ambito familiar,76022
2019,1.4.-otros contra las personas,3122
2019,10. orden publico,20346
2019,11. legislacion especial,257
2019,12. otras infracciones penales,7044
2019,2. contra la libertad,96152
2019,2.1.-malos tratos habituales en el ambito familiar,11850
2019,2.2.-otros contra la libertad,84302
2019,3. libertad sexual,11839
2019,3.1.-agresion sexual,7003
2019,3.2.-agresion sexual con penetracion,2536
2019,3.3.-corrupcion de menores o incapacitados,276
2019,3.4.-pornografia de menores,612
2019,3.5.-otros contra la libertad sexual,1412
2019,4. relaciones familiares,6781
2019,5. patrimonio,290663
2019,5.1.-hurtos,111307
2019,5.2.-robos con fuerza en las cosas,39702
2019,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,8566
2019,5.2.2.-robos con fuerza en viviendas,10774
2019,5.2.3.-robos con fuerza en establecimientos,7461
2019,5.3.-robos con violencia o intimidacion,18195
2019,5.3.1.-robos con violencia en via publica,6927
2019,5.3.2.-robos con violencia en viviendas,1181
2019,5.3.3.-robos con violencia en establecimientos,3129
2019,5.4.-sustraccion de vehiculos,10896
2019,5.5.-estafas,49378
2019,5.5.1.-estafas informaticas,18428
2019,5.6.-danos,28308
2019,5.7.-contra la propiedad intelectual/industrial,1573
2019,5.8.-blanqueo de capitales,257
2019,5.9.-otros contra el patrimonio,31047
2019,6. seguridad colectiva,63279
2019,6.1.-trafico de drogas,15179
2019,6.2.-contra la seguridad vial,46622
2019,6.3.-otros contra la seguridad colectiva,1478
2019,7. falsedades,14470
2019,8. admon. publica,327
2019,9. admon. justicia,30441
2019,total infracciones penales,701352
2020,1. contra las personas,141773
2020,1.1.-homicidios dolosos/asesinatos,1101
2020,1.1.1.-homicidios dolosos/asesinatos consumados,279
2020,1.2.-lesiones,64404
2020,1.3.-malos tratos ambito familiar,73615
2020,1.4.-otros contra las personas,2653
2020,10. orden publico,28034
2020,11. legislacion especial,270
2020,12. otras infracciones penales,6677
2020,2. contra la libertad,94250
2020,2.1.-malos tratos habituales en el ambito familiar,11313
2020,2.2.-otros contra la libertad,82937
2020,3. libertad sexual,10272
2020,3.1.-agresion sexual,5953
2020,3.2.-agresion sexual con penetracion,2357
2020,3.3.-corrupcion de menores o incapacitados,242
2020,3.4.-pornografia de menores,449
2020,3.5.-otros contra la libertad sexual,1271
2020,4. relaciones familiares,6358
2020,5. patrimonio,232761
2020,5.1.-hurtos,77253
2020,5.2.-robos con fuerza en las cosas,31281
2020,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,6103
2020,5.2.2.-robos con fuerza en viviendas,10753
2020,5.2.3.-robos con fuerza en establecimientos,7569
2020,5.3.-robos con violencia o intimidacion,14568
2020,5.3.1.-robos con violencia en via publica,7997
2020,5.3.2.-robos con violencia en viviendas,1351
2020,5.3.3.-robos con violencia en establecimientos,3558
2020,5.4.-sustraccion de vehiculos,8084
2020,5.5.-estafas,46261
2020,5.5.1.-estafas informaticas,25330
2020,5.6.-danos,25707
2020,5.7.-contra la propiedad intelectual/industrial,791
2020,5.8.-blanqueo de capitales,284
2020,5.9.-otros contra el patrimonio,28532
2020,6. seguridad colectiva,54139
2020,6.1.-trafico de drogas,14695
2020,6.2.-contra la seguridad vial,38210
2020,6.3.-otros contra la seguridad colectiva,1234
2020,7. falsedades,11441
2020,8. admon. publica,228
2020,9. admon. justicia,29661
2020,total infracciones penales,615864
2021,1. contra las personas,159444
2021,1.1.-homicidios dolosos/asesinatos,1165
2021,1.1.1.-homicidios dolosos/asesinatos consumados,261
2021,1.2.-lesiones,74806
2021,1.3.-malos tratos ambito familiar,80338
2021,1.4.-otros contra las personas,3135
2021,10. orden publico,25510
2021,11. legislacion especial,288
2021,12. otras infracciones penales,7112
2021,2. contra la libertad,104338
2021,2.1.-malos tratos habituales en el ambito familiar,12604
2021,2.2.-otros contra la libertad,91734
2021,3. libertad sexual,13222
2021,3.1.-agresion sexual,8030
2021,3.2.-agresion sexual con penetracion,3120
2021,3.3.-corrupcion de menores o incapacitados,238
2021,3.4.-pornografia de menores,502
2021,3.5.-otros contra la libertad sexual,1332
2021,4. relaciones familiares,6896
2021,5. patrimonio,259692
2021,5.1.-hurtos,89791
2021,5.2.-robos con fuerza en las cosas,31197
2021,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,7740
2021,5.2.2.-robos con fuerza en viviendas,10004
2021,5.2.3.-robos con fuerza en establecimientos,7145
2021,5.3.-robos con violencia o intimidacion,16037
2021,5.3.1.-robos con violencia en via publica,8999
2021,5.3.2.-robos con violencia en viviendas,1479
