ano,tipo,sexo,valor
2012,3.4.-pornografia de menores,mujeres,1
2012,3.4.-pornografia de menores,total,38
2012,3.5.-otros contra la libertad sexual,hombres,298
2012,3.5.-otros contra la libertad sexual,mujeres,180
2012,3.5.-otros contra la libertad sexual,total,478
2012,4. relaciones familiares,hombres,369
2012,4. relaciones familiares,mujeres,230
2012,4. relaciones familiares,total,599
2012,5. patrimonio,hombres,43078
2012,5. patrimonio,mujeres,10689
2012,5. patrimonio,total,53767
2012,5.1.-hurtos,hombres,15171
2012,5.1.-hurtos,mujeres,7075
2012,5.1.-hurtos,total,22246
2012,5.2.-robos con fuerza en las cosas,hombres,11836
2012,5.2.-robos con fuerza en las cosas,mujeres,961
2012,5.2.-robos con fuerza en las cosas,total,12797
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,hombres,2027
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,mujeres,69
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,total,2096
2012,5.2.2.-robos con fuerza en viviendas,hombres,3774
2012,5.2.2.-robos con fuerza en viviendas,mujeres,495
2012,5.2.2.-robos con fuerza en viviendas,total,4269
2012,5.2.3.-robos con fuerza en establecimientos,hombres,2526
2012,5.2.3.-robos con fuerza en establecimientos,mujeres,127
2012,5.2.3.-robos con fuerza en establecimientos,total,2653
2012,5.3.-robos con violencia o intimidacion,hombres,6392
2012,5.3.-robos con violencia o intimidacion,mujeres,666
2012,5.3.-robos con violencia o intimidacion,total,7058
2012,5.3.1.-robos con violencia en via publica,hombres,4264
2012,5.3.1.-robos con violencia en via publica,mujeres,416
2012,5.3.1.-robos con violencia en via publica,total,4680
2012,5.3.2.-robos con violencia en viviendas,hombres,526
2012,5.3.2.-robos con violencia en viviendas,mujeres,78
2012,5.3.2.-robos con violencia en viviendas,total,604
2012,5.3.3.-robos con violencia en establecimientos,hombres,823
2012,5.3.3.-robos con violencia en establecimientos,mujeres,111
2012,5.3.3.-robos con violencia en establecimientos,total,934
2012,5.4.-sustraccion de vehiculos,hombres,1653
2012,5.4.-sustraccion de vehiculos,mujeres,134
2012,5.4.-sustraccion de vehiculos,total,1787
2012,5.5.-estafas,hombres,2491
2012,5.5.-estafas,mujeres,817
2012,5.5.-estafas,total,3308
2012,5.5.1.-estafas informaticas,hombres,488
2012,5.5.1.-estafas informaticas,mujeres,150
2012,5.5.1.-estafas informaticas,total,638
2012,5.6.-danos,hombres,1760
2012,5.6.-danos,mujeres,240
2012,5.6.-danos,total,2000
2012,5.7.-contra la propiedad intelectual/industrial,hombres,1466
2012,5.7.-contra la propiedad intelectual/industrial,mujeres,126
2012,5.7.-contra la propiedad intelectual/industrial,total,1592
2012,5.8.-blanqueo de capitales,hombres,124
2012,5.8.-blanqueo de capitales,mujeres,74
2012,5.8.-blanqueo de capitales,total,198
2012,5.9.-otros contra el patrimonio,hombres,2185
2012,5.9.-otros contra el patrimonio,mujeres,596
2012,5.9.-otros contra el patrimonio,total,2781
2012,6. seguridad colectiva,hombres,17181
2012,6. seguridad colectiva,mujeres,2018
2012,6. seguridad colectiva,total,19199
2012,6.1.-trafico de drogas,hombres,6700
2012,6.1.-trafico de drogas,mujeres,1121
2012,6.1.-trafico de drogas,total,7821
2012,6.2.-contra la seguridad vial,hombres,9946
2012,6.2.-contra la seguridad vial,mujeres,816
2012,6.2.-contra la seguridad vial,total,10762
2012,6.3.-otros contra la seguridad colectiva,hombres,535
2012,6.3.-otros contra la seguridad colectiva,mujeres,81
2012,6.3.-otros contra la seguridad colectiva,total,616
2012,7. falsedades,hombres,5476
2012,7. falsedades,mujeres,1217
2012,7. falsedades,total,6693
2012,8. admon. publica,hombres,24
2012,8. admon. publica,mujeres,5
2012,8. admon. publica,total,29
2012,9. admon. justicia,hombres,4182
2012,9. admon. justicia,mujeres,462
2012,9. admon. justicia,total,4644
2012,total infracciones penales,hombres,108669
2012,total infracciones penales,mujeres,20312
2012,total infracciones penales,total,128981
2013,1. contra las personas,hombres,20581
2013,1. contra las personas,mujeres,3133
2013,1. contra las personas,total,23714
2013,1.1.-homicidios dolosos/asesinatos,hombres,227
2013,1.1.-homicidios dolosos/asesinatos,mujeres,23
2013,1.1.-homicidios dolosos/asesinatos,total,250
2013,1.1.1.-homicidios dolosos/asesinatos consumados,hombres,70
2013,1.1.1.-homicidios dolosos/asesinatos consumados,mujeres,11
2013,1.1.1.-homicidios dolosos/asesinatos consumados,total,81
2013,1.2.-lesiones,hombres,5977
2013,1.2.-lesiones,mujeres,1178
2013,1.2.-lesiones,total,7155
2013,1.3.-malos tratos ambito familiar,hombres,12703
2013,1.3.-malos tratos ambito familiar,mujeres,1343
2013,1.3.-malos tratos ambito familiar,total,14046
2013,1.4.-otros contra las personas,hombres,1674
2013,1.4.-otros contra las personas,mujeres,589
2013,1.4.-otros contra las personas,total,2263
2013,10. orden publico,hombres,6777
2013,10. orden publico,mujeres,1269
2013,10. orden publico,total,8046
2013,11. legislacion especial,hombres,72
2013,11. legislacion especial,mujeres,9
2013,11. legislacion especial,total,81
2013,12. otras infracciones penales,hombres,1202
2013,12. otras infracciones penales,mujeres,355
2013,12. otras infracciones penales,total,1557
2013,2. contra la libertad,hombres,5366
2013,2. contra la libertad,mujeres,725
2013,2. contra la libertad,total,6091
2013,2.1.-malos tratos habituales en el ambito familiar,hombres,2447
2013,2.1.-malos tratos habituales en el ambito familiar,mujeres,206
2013,2.1.-malos tratos habituales en el ambito familiar,total,2653
2013,2.2.-otros contra la libertad,hombres,2919
2013,2.2.-otros contra la libertad,mujeres,519
2013,2.2.-otros contra la libertad,total,3438
2013,3. libertad sexual,hombres,1629
2013,3. libertad sexual,mujeres,214
2013,3. libertad sexual,total,1843
2013,3.1.-agresion sexual,hombres,842
2013,3.1.-agresion sexual,mujeres,13
2013,3.1.-agresion sexual,total,855
2013,3.2.-agresion sexual con penetracion,hombres,434
2013,3.2.-agresion sexual con penetracion,mujeres,4
2013,3.2.-agresion sexual con penetracion,total,438
2013,3.3.-corrupcion de menores o incapacitados,hombres,35
2013,3.3.-corrupcion de menores o incapacitados,mujeres,13
2013,3.3.-corrupcion de menores o incapacitados,total,48
2013,3.4.-pornografia de menores,hombres,31
2013,3.4.-pornografia de menores,mujeres,3
2013,3.4.-pornografia de menores,total,34
2013,3.5.-otros contra la libertad sexual,hombres,287
2013,3.5.-otros contra la libertad sexual,mujeres,181
2013,3.5.-otros contra la libertad sexual,total,468
2013,4. relaciones familiares,hombres,353
2013,4. relaciones familiares,mujeres,163
2013,4. relaciones familiares,total,516
2013,5. patrimonio,hombres,43134
2013,5. patrimonio,mujeres,11132
2013,5. patrimonio,total,54266
2013,5.1.-hurtos,hombres,15521
2013,5.1.-hurtos,mujeres,7524
2013,5.1.-hurtos,total,23045
2013,5.2.-robos con fuerza en las cosas,hombres,11852
2013,5.2.-robos con fuerza en las cosas,mujeres,975
2013,5.2.-robos con fuerza en las cosas,total,12827
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,hombres,1827
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,mujeres,70
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,total,1897
2013,5.2.2.-robos con fuerza en viviendas,hombres,4393
2013,5.2.2.-robos con fuerza en viviendas,mujeres,580
2013,5.2.2.-robos con fuerza en viviendas,total,4973
2013,5.2.3.-robos con fuerza en establecimientos,hombres,2208
2013,5.2.3.-robos con fuerza en establecimientos,mujeres,118
2013,5.2.3.-robos con fuerza en establecimientos,total,2326
2013,5.3.-robos con violencia o intimidacion,hombres,5790
2013,5.3.-robos con violencia o intimidacion,mujeres,603
2013,5.3.-robos con violencia o intimidacion,total,6393
2013,5.3.1.-robos con violencia en via publica,hombres,3737
2013,5.3.1.-robos con violencia en via publica,mujeres,336
2013,5.3.1.-robos con violencia en via publica,total,4073
2013,5.3.2.-robos con violencia en viviendas,hombres,526
2013,5.3.2.-robos con violencia en viviendas,mujeres,69
2013,5.3.2.-robos con violencia en viviendas,total,595
2013,5.3.3.-robos con violencia en establecimientos,hombres,847
2013,5.3.3.-robos con violencia en establecimientos,mujeres,123
2013,5.3.3.-robos con violencia en establecimientos,total,970
2013,5.4.-sustraccion de vehiculos,hombres,1328
2013,5.4.-sustraccion de vehiculos,mujeres,116
2013,5.4.-sustraccion de vehiculos,total,1444
2013,5.5.-estafas,hombres,2407
2013,5.5.-estafas,mujeres,862
2013,5.5.-estafas,total,3269
2013,5.5.1.-estafas informaticas,hombres,447
2013,5.5.1.-estafas informaticas,mujeres,140
2013,5.5.1.-estafas informaticas,total,587
2013,5.6.-danos,hombres,1631
2013,5.6.-danos,mujeres,205
2013,5.6.-danos,total,1836
2013,5.7.-contra la propiedad intelectual/industrial,hombres,1734
2013,5.7.-contra la propiedad intelectual/industrial,mujeres,148
2013,5.7.-contra la propiedad intelectual/industrial,total,1882
2013,5.8.-blanqueo de capitales,hombres,125
2013,5.8.-blanqueo de capitales,mujeres,52
2013,5.8.-blanqueo de capitales,total,177
2013,5.9.-otros contra el patrimonio,hombres,2746
2013,5.9.-otros contra el patrimonio,mujeres,647
2013,5.9.-otros contra el patrimonio,total,3393
2013,6. seguridad colectiva,hombres,15676
2013,6. seguridad colectiva,mujeres,1898
2013,6. seguridad colectiva,total,17574
2013,6.1.-trafico de drogas,hombres,6346
2013,6.1.-trafico de drogas,mujeres,1013
2013,6.1.-trafico de drogas,total,7359
2013,6.2.-contra la seguridad vial,hombres,8996
2013,6.2.-contra la seguridad vial,mujeres,839
2013,6.2.-contra la seguridad vial,total,9835
2013,6.3.-otros contra la seguridad colectiva,hombres,334
2013,6.3.-otros contra la seguridad colectiva,mujeres,46
2013,6.3.-otros contra la seguridad colectiva,total,380
2013,7. falsedades,hombres,5109
2013,7. falsedades,mujeres,1255
2013,7. falsedades,total,6364
2013,8. admon. publica,hombres,40
2013,8. admon. publica,mujeres,6
2013,8. admon. publica,total,46
2013,9. admon. justicia,hombres,3871
2013,9. admon. justicia,mujeres,425
2013,9. admon. justicia,total,4296
2013,total infracciones penales,hombres,103810
2013,total infracciones penales,mujeres,20584
2013,total infracciones penales,total,124394
2014,1. contra las personas,hombres,18711
2014,1. contra las personas,mujeres,2900
2014,1. contra las personas,total,21611
2014,1.1.-homicidios dolosos/asesinatos,hombres,171
2014,1.1.-homicidios dolosos/asesinatos,mujeres,27
2014,1.1.-homicidios dolosos/asesinatos,total,198
2014,1.1.1.-homicidios dolosos/asesinatos consumados,hombres,61
2014,1.1.1.-homicidios dolosos/asesinatos consumados,mujeres,13
2014,1.1.1.-homicidios dolosos/asesinatos consumados,total,74
2014,1.2.-lesiones,hombres,5322
2014,1.2.-lesiones,mujeres,1041
2014,1.2.-lesiones,total,6363
2014,1.3.-malos tratos ambito familiar,hombres,11562
2014,1.3.-malos tratos ambito familiar,mujeres,1239
2014,1.3.-malos tratos ambito familiar,total,12801
2014,1.4.-otros contra las personas,hombres,1656
2014,1.4.-otros contra las personas,mujeres,593
2014,1.4.-otros contra las personas,total,2249
2014,10. orden publico,hombres,5769
2014,10. orden publico,mujeres,1039
2014,10. orden publico,total,6808
2014,11. legislacion especial,hombres,50
2014,11. legislacion especial,mujeres,5
2014,11. legislacion especial,total,55
2014,12. otras infracciones penales,hombres,1174
2014,12. otras infracciones penales,mujeres,392
2014,12. otras infracciones penales,total,1566
2014,2. contra la libertad,hombres,4529
2014,2. contra la libertad,mujeres,590
2014,2. contra la libertad,total,5119
2014,2.1.-malos tratos habituales en el ambito familiar,hombres,2067
2014,2.1.-malos tratos habituales en el ambito familiar,mujeres,165
2014,2.1.-malos tratos habituales en el ambito familiar,total,2232
2014,2.2.-otros contra la libertad,hombres,2462
2014,2.2.-otros contra la libertad,mujeres,425
2014,2.2.-otros contra la libertad,total,2887
2014,3. libertad sexual,hombres,1485
2014,3. libertad sexual,mujeres,199
2014,3. libertad sexual,total,1684
2014,3.1.-agresion sexual,hombres,811
