ano,tipo,valor
2022,11. legislacion especial,98
2022,12. otras infracciones penales,1711
2022,2. contra la libertad,13428
2022,2.1.-malos tratos habituales en el ambito familiar,3062
2022,2.2.-otros contra la libertad,10366
2022,3. libertad sexual,4183
2022,3.1.-agresion sexual,2618
2022,3.2.-agresion sexual con penetracion,1062
2022,3.3.-corrupcion de menores o incapacitados,52
2022,3.4.-pornografia de menores,62
2022,3.5.-otros contra la libertad sexual,389
2022,4. relaciones familiares,748
2022,5. patrimonio,70205
2022,5.1.-hurtos,32111
2022,5.2.-robos con fuerza en las cosas,9735
2022,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,2359
2022,5.2.2.-robos con fuerza en viviendas,3330
2022,5.2.3.-robos con fuerza en establecimientos,2034
2022,5.3.-robos con violencia o intimidacion,8744
2022,5.3.1.-robos con violencia en via publica,5996
2022,5.3.2.-robos con violencia en viviendas,383
2022,5.3.3.-robos con violencia en establecimientos,1321
2022,5.4.-sustraccion de vehiculos,1016
2022,5.5.-estafas,4775
2022,5.5.1.-estafas informaticas,1895
2022,5.6.-danos,3384
2022,5.7.-contra la propiedad intelectual/industrial,746
2022,5.8.-blanqueo de capitales,199
2022,5.9.-otros contra el patrimonio,9495
2022,6. seguridad colectiva,19854
2022,6.1.-trafico de drogas,8328
2022,6.2.-contra la seguridad vial,11111
2022,6.3.-otros contra la seguridad colectiva,415
2022,7. falsedades,6923
2022,8. admon. publica,55
2022,9. admon. justicia,7117
2022,total infracciones penales,172314
2023,1. contra las personas,43216
2023,1.1.-homicidios dolosos/asesinatos,568
2023,1.1.1.-homicidios dolosos/asesinatos consumados,137
2023,1.2.-lesiones,13538
2023,1.3.-malos tratos ambito familiar,27806
2023,1.4.-otros contra las personas,1304
2023,10. orden publico,9804
2023,11. legislacion especial,93
2023,12. otras infracciones penales,1771
2023,2. contra la libertad,15586
2023,2.1.-malos tratos habituales en el ambito familiar,3565
2023,2.2.-otros contra la libertad,12021
2023,3. libertad sexual,5136
2023,3.1.-agresion sexual,3125
2023,3.2.-agresion sexual con penetracion,1326
2023,3.3.-corrupcion de menores o incapacitados,36
2023,3.4.-pornografia de menores,83
2023,3.5.-otros contra la libertad sexual,566
2023,4. relaciones familiares,830
2023,5. patrimonio,83969
2023,5.1.-hurtos,40651
2023,5.2.-robos con fuerza en las cosas,10668
2023,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,2823
2023,5.2.2.-robos con fuerza en viviendas,3489
2023,5.2.3.-robos con fuerza en establecimientos,2247
2023,5.3.-robos con violencia o intimidacion,10553
2023,5.3.1.-robos con violencia en via publica,7044
