ano,region,tipo,valor
2010,Cataluña,1.1.1.-homicidios dolosos/asesinatos consumados,3
2010,Cataluña,1.2.-lesiones,13471
2010,Cataluña,1.3.-malos tratos ambito familiar,6613
2010,Cataluña,1.4.-otros contra las personas,13707
2010,Cataluña,10. orden publico,4687
2010,Cataluña,11. legislacion especial,89
2010,Cataluña,12. otras infracciones penales,1146
2010,Cataluña,2. contra la libertad,9824
2010,Cataluña,2.1.-malos tratos habituales en el ambito familiar,3867
2010,Cataluña,2.2.-otros contra la libertad,5957
2010,Cataluña,3. libertad sexual,1514
2010,Cataluña,3.1.-agresion sexual,669
2010,Cataluña,3.2.-agresion sexual con penetracion,442
2010,Cataluña,3.3.-corrupcion de menores o incapacitados,43
2010,Cataluña,3.4.-pornografia de menores,106
2010,Cataluña,3.5.-otros contra la libertad sexual,254
2010,Cataluña,4. relaciones familiares,1750
2010,Cataluña,5. patrimonio,62094
2010,Cataluña,5.1.-hurtos,19924
2010,Cataluña,5.2.-robos con fuerza en las cosas,12964
2010,Cataluña,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,3305
2010,Cataluña,5.2.2.-robos con fuerza en viviendas,39
2010,Cataluña,5.2.3.-robos con fuerza en establecimientos,38
2010,Cataluña,5.3.-robos con violencia o intimidacion,6280
2010,Cataluña,5.3.1.-robos con violencia en via publica,13
2010,Cataluña,5.3.2.-robos con violencia en viviendas,4
2010,Cataluña,5.3.3.-robos con violencia en establecimientos,14
2010,Cataluña,5.4.-sustraccion de vehiculos,6603
2010,Cataluña,5.5.-estafas,5276
2010,Cataluña,5.5.1.-estafas informaticas,320
2010,Cataluña,5.6.-danos,5576
2010,Cataluña,5.7.-contra la propiedad intelectual/industrial,553
2010,Cataluña,5.8.-blanqueo de capitales,18
2010,Cataluña,5.9.-otros contra el patrimonio,4900
2010,Cataluña,6. seguridad colectiva,10679
2010,Cataluña,6.1.-trafico de drogas,1782
2010,Cataluña,6.2.-contra la seguridad vial,8752
2010,Cataluña,6.3.-otros contra la seguridad colectiva,145
2010,Cataluña,7. falsedades,3156
2010,Cataluña,8. admon. publica,56
2010,Cataluña,9. admon. justicia,3772
2010,Cataluña,total infracciones penales,132824
2010,Ceuta,1. contra las personas,726
2010,Ceuta,1.1.-homicidios dolosos/asesinatos,5
2010,Ceuta,1.1.1.-homicidios dolosos/asesinatos consumados,1
2010,Ceuta,1.2.-lesiones,328
2010,Ceuta,1.3.-malos tratos ambito familiar,73
2010,Ceuta,1.4.-otros contra las personas,320
2010,Ceuta,10. orden publico,148
2010,Ceuta,11. legislacion especial,8
2010,Ceuta,12. otras infracciones penales,50
2010,Ceuta,2. contra la libertad,255
2010,Ceuta,2.1.-malos tratos habituales en el ambito familiar,218
2010,Ceuta,2.2.-otros contra la libertad,37
2010,Ceuta,3. libertad sexual,17
2010,Ceuta,3.1.-agresion sexual,9
2010,Ceuta,3.2.-agresion sexual con penetracion,0
2010,Ceuta,3.3.-corrupcion de menores o incapacitados,3
2010,Ceuta,3.4.-pornografia de menores,2
2010,Ceuta,3.5.-otros contra la libertad sexual,3
2010,Ceuta,4. relaciones familiares,28
2010,Ceuta,5. patrimonio,764
2010,Ceuta,5.1.-hurtos,213
2010,Ceuta,5.2.-robos con fuerza en las cosas,142
2010,Ceuta,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,64
2010,Ceuta,5.2.2.-robos con fuerza en viviendas,27
2010,Ceuta,5.2.3.-robos con fuerza en establecimientos,19
2010,Ceuta,5.3.-robos con violencia o intimidacion,92
2010,Ceuta,5.3.1.-robos con violencia en via publica,60
2010,Ceuta,5.3.2.-robos con violencia en viviendas,4
2010,Ceuta,5.3.3.-robos con violencia en establecimientos,10
2010,Ceuta,5.4.-sustraccion de vehiculos,108
2010,Ceuta,5.5.-estafas,55
2010,Ceuta,5.5.1.-estafas informaticas,35
2010,Ceuta,5.6.-danos,92
2010,Ceuta,5.7.-contra la propiedad intelectual/industrial,8
2010,Ceuta,5.8.-blanqueo de capitales,0
2010,Ceuta,5.9.-otros contra el patrimonio,54
2010,Ceuta,6. seguridad colectiva,1372
2010,Ceuta,6.1.-trafico de drogas,1108
2010,Ceuta,6.2.-contra la seguridad vial,261
2010,Ceuta,6.3.-otros contra la seguridad colectiva,3
2010,Ceuta,7. falsedades,41
2010,Ceuta,8. admon. publica,2
2010,Ceuta,9. admon. justicia,101
2010,Ceuta,total infracciones penales,3512
2010,Comunidad Foral de Navarra,1. contra las personas,1765
2010,Comunidad Foral de Navarra,1.1.-homicidios dolosos/asesinatos,10
2010,Comunidad Foral de Navarra,1.1.1.-homicidios dolosos/asesinatos consumados,3
2010,Comunidad Foral de Navarra,1.2.-lesiones,509
2010,Comunidad Foral de Navarra,1.3.-malos tratos ambito familiar,549
2010,Comunidad Foral de Navarra,1.4.-otros contra las personas,697
2010,Comunidad Foral de Navarra,10. orden publico,540
2010,Comunidad Foral de Navarra,11. legislacion especial,3
2010,Comunidad Foral de Navarra,12. otras infracciones penales,183
2010,Comunidad Foral de Navarra,2. contra la libertad,485
2010,Comunidad Foral de Navarra,2.1.-malos tratos habituales en el ambito familiar,184
2010,Comunidad Foral de Navarra,2.2.-otros contra la libertad,301
2010,Comunidad Foral de Navarra,3. libertad sexual,340
2010,Comunidad Foral de Navarra,3.1.-agresion sexual,318
2010,Comunidad Foral de Navarra,3.2.-agresion sexual con penetracion,8
2010,Comunidad Foral de Navarra,3.3.-corrupcion de menores o incapacitados,5
2010,Comunidad Foral de Navarra,3.4.-pornografia de menores,5
2010,Comunidad Foral de Navarra,3.5.-otros contra la libertad sexual,4
2010,Comunidad Foral de Navarra,4. relaciones familiares,53
2010,Comunidad Foral de Navarra,5. patrimonio,2093
2010,Comunidad Foral de Navarra,5.1.-hurtos,778
2010,Comunidad Foral de Navarra,5.2.-robos con fuerza en las cosas,470
2010,Comunidad Foral de Navarra,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,76
2010,Comunidad Foral de Navarra,5.2.2.-robos con fuerza en viviendas,111
2010,Comunidad Foral de Navarra,5.2.3.-robos con fuerza en establecimientos,84
2010,Comunidad Foral de Navarra,5.3.-robos con violencia o intimidacion,73
2010,Comunidad Foral de Navarra,5.3.1.-robos con violencia en via publica,40
2010,Comunidad Foral de Navarra,5.3.2.-robos con violencia en viviendas,2
2010,Comunidad Foral de Navarra,5.3.3.-robos con violencia en establecimientos,25
2010,Comunidad Foral de Navarra,5.4.-sustraccion de vehiculos,40
2010,Comunidad Foral de Navarra,5.5.-estafas,286
2010,Comunidad Foral de Navarra,5.5.1.-estafas informaticas,80
2010,Comunidad Foral de Navarra,5.6.-danos,341
2010,Comunidad Foral de Navarra,5.7.-contra la propiedad intelectual/industrial,9
2010,Comunidad Foral de Navarra,5.8.-blanqueo de capitales,1
2010,Comunidad Foral de Navarra,5.9.-otros contra el patrimonio,95
2010,Comunidad Foral de Navarra,6. seguridad colectiva,1436
2010,Comunidad Foral de Navarra,6.1.-trafico de drogas,142
2010,Comunidad Foral de Navarra,6.2.-contra la seguridad vial,1258
2010,Comunidad Foral de Navarra,6.3.-otros contra la seguridad colectiva,36
2010,Comunidad Foral de Navarra,7. falsedades,148
2010,Comunidad Foral de Navarra,8. admon. publica,12
2010,Comunidad Foral de Navarra,9. admon. justicia,305
2010,Comunidad Foral de Navarra,total infracciones penales,7363
2010,Comunidad Valenciana,1. contra las personas,28953
2010,Comunidad Valenciana,1.1.-homicidios dolosos/asesinatos,100
2010,Comunidad Valenciana,1.1.1.-homicidios dolosos/asesinatos consumados,42
2010,Comunidad Valenciana,1.2.-lesiones,9639
2010,Comunidad Valenciana,1.3.-malos tratos ambito familiar,8972
2010,Comunidad Valenciana,1.4.-otros contra las personas,10242
2010,Comunidad Valenciana,10. orden publico,4237
2010,Comunidad Valenciana,11. legislacion especial,14
2010,Comunidad Valenciana,12. otras infracciones penales,554
2010,Comunidad Valenciana,2. contra la libertad,3956
2010,Comunidad Valenciana,2.1.-malos tratos habituales en el ambito familiar,1546
2010,Comunidad Valenciana,2.2.-otros contra la libertad,2410
2010,Comunidad Valenciana,3. libertad sexual,980
2010,Comunidad Valenciana,3.1.-agresion sexual,491
2010,Comunidad Valenciana,3.2.-agresion sexual con penetracion,197
2010,Comunidad Valenciana,3.3.-corrupcion de menores o incapacitados,24
2010,Comunidad Valenciana,3.4.-pornografia de menores,82
2010,Comunidad Valenciana,3.5.-otros contra la libertad sexual,186
2010,Comunidad Valenciana,4. relaciones familiares,730
2010,Comunidad Valenciana,5. patrimonio,33786
2010,Comunidad Valenciana,5.1.-hurtos,12049
2010,Comunidad Valenciana,5.2.-robos con fuerza en las cosas,8520
2010,Comunidad Valenciana,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,1752
2010,Comunidad Valenciana,5.2.2.-robos con fuerza en viviendas,2567
2010,Comunidad Valenciana,5.2.3.-robos con fuerza en establecimientos,1598
2010,Comunidad Valenciana,5.3.-robos con violencia o intimidacion,2612
2010,Comunidad Valenciana,5.3.1.-robos con violencia en via publica,1600
2010,Comunidad Valenciana,5.3.2.-robos con violencia en viviendas,247
2010,Comunidad Valenciana,5.3.3.-robos con violencia en establecimientos,524
2010,Comunidad Valenciana,5.4.-sustraccion de vehiculos,1509
2010,Comunidad Valenciana,5.5.-estafas,3003
2010,Comunidad Valenciana,5.5.1.-estafas informaticas,565
2010,Comunidad Valenciana,5.6.-danos,3794
2010,Comunidad Valenciana,5.7.-contra la propiedad intelectual/industrial,476
2010,Comunidad Valenciana,5.8.-blanqueo de capitales,11
2010,Comunidad Valenciana,5.9.-otros contra el patrimonio,1812
2010,Comunidad Valenciana,6. seguridad colectiva,7757
2010,Comunidad Valenciana,6.1.-trafico de drogas,1375
2010,Comunidad Valenciana,6.2.-contra la seguridad vial,5992
2010,Comunidad Valenciana,6.3.-otros contra la seguridad colectiva,390
2010,Comunidad Valenciana,7. falsedades,1490
2010,Comunidad Valenciana,8. admon. publica,52
2010,Comunidad Valenciana,9. admon. justicia,4173
2010,Comunidad Valenciana,total infracciones penales,86682
2010,Comunidad de Madrid,1. contra las personas,29165
2010,Comunidad de Madrid,1.1.-homicidios dolosos/asesinatos,90
2010,Comunidad de Madrid,1.1.1.-homicidios dolosos/asesinatos consumados,45
2010,Comunidad de Madrid,1.2.-lesiones,9920
2010,Comunidad de Madrid,1.3.-malos tratos ambito familiar,10234
2010,Comunidad de Madrid,1.4.-otros contra las personas,8921
2010,Comunidad de Madrid,10. orden publico,4987
2010,Comunidad de Madrid,11. legislacion especial,3
2010,Comunidad de Madrid,12. otras infracciones penales,486
2010,Comunidad de Madrid,2. contra la libertad,3274
2010,Comunidad de Madrid,2.1.-malos tratos habituales en el ambito familiar,1148
2010,Comunidad de Madrid,2.2.-otros contra la libertad,2126
2010,Comunidad de Madrid,3. libertad sexual,900
2010,Comunidad de Madrid,3.1.-agresion sexual,472
2010,Comunidad de Madrid,3.2.-agresion sexual con penetracion,236
2010,Comunidad de Madrid,3.3.-corrupcion de menores o incapacitados,22
2010,Comunidad de Madrid,3.4.-pornografia de menores,33
2010,Comunidad de Madrid,3.5.-otros contra la libertad sexual,137
2010,Comunidad de Madrid,4. relaciones familiares,579
2010,Comunidad de Madrid,5. patrimonio,44370
2010,Comunidad de Madrid,5.1.-hurtos,21442
2010,Comunidad de Madrid,5.2.-robos con fuerza en las cosas,7014
2010,Comunidad de Madrid,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,2568
2010,Comunidad de Madrid,5.2.2.-robos con fuerza en viviendas,1321
2010,Comunidad de Madrid,5.2.3.-robos con fuerza en establecimientos,1321
2010,Comunidad de Madrid,5.3.-robos con violencia o intimidacion,3827
2010,Comunidad de Madrid,5.3.1.-robos con violencia en via publica,2393
2010,Comunidad de Madrid,5.3.2.-robos con violencia en viviendas,275
2010,Comunidad de Madrid,5.3.3.-robos con violencia en establecimientos,782
2010,Comunidad de Madrid,5.4.-sustraccion de vehiculos,1892
2010,Comunidad de Madrid,5.5.-estafas,4556
2010,Comunidad de Madrid,5.5.1.-estafas informaticas,569
2010,Comunidad de Madrid,5.6.-danos,3171
2010,Comunidad de Madrid,5.7.-contra la propiedad intelectual/industrial,779
2010,Comunidad de Madrid,5.8.-blanqueo de capitales,36
2010,Comunidad de Madrid,5.9.-otros contra el patrimonio,1653
2010,Comunidad de Madrid,6. seguridad colectiva,6709
2010,Comunidad de Madrid,6.1.-trafico de drogas,2076
2010,Comunidad de Madrid,6.2.-contra la seguridad vial,4448
2010,Comunidad de Madrid,6.3.-otros contra la seguridad colectiva,185
2010,Comunidad de Madrid,7. falsedades,1864
2010,Comunidad de Madrid,8. admon. publica,37
2010,Comunidad de Madrid,9. admon. justicia,3703
2010,Comunidad de Madrid,total infracciones penales,96077
2010,Extremadura,1. contra las personas,5279
2010,Extremadura,1.1.-homicidios dolosos/asesinatos,14
2010,Extremadura,1.1.1.-homicidios dolosos/asesinatos consumados,2
2010,Extremadura,1.2.-lesiones,2104
2010,Extremadura,1.3.-malos tratos ambito familiar,919
2010,Extremadura,1.4.-otros contra las personas,2242
2010,Extremadura,10. orden publico,562
2010,Extremadura,11. legislacion especial,0
2010,Extremadura,12. otras infracciones penales,144
2010,Extremadura,2. contra la libertad,517
2010,Extremadura,2.1.-malos tratos habituales en el ambito familiar,206
2010,Extremadura,2.2.-otros contra la libertad,311
2010,Extremadura,3. libertad sexual,130
2010,Extremadura,3.1.-agresion sexual,66
2010,Extremadura,3.2.-agresion sexual con penetracion,26
2010,Extremadura,3.3.-corrupcion de menores o incapacitados,10
2010,Extremadura,3.4.-pornografia de menores,13
2010,Extremadura,3.5.-otros contra la libertad sexual,15
2010,Extremadura,4. relaciones familiares,160
2010,Extremadura,5. patrimonio,4629
