Package,LibPath,Version,Priority,Built
quantreg,C:/Users/jesus/AppData/Local/R/win-library/4.5,6.1,NA,4.5.1
R6,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.6.1,NA,4.5.1
ragg,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.4.0,NA,4.5.1
rappdirs,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.3.3,NA,4.5.1
raster,C:/Users/jesus/AppData/Local/R/win-library/4.5,3.6-32,NA,4.5.1
rbibutils,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.3,NA,4.5.1
RColorBrewer,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.1-3,NA,4.5.0
Rcpp,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.1.0,NA,4.5.1
RcppEigen,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.3.4.0.2,NA,4.5.1
Rdpack,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.6.4,NA,4.5.1
reactable,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.4.4,NA,4.5.1
reactR,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.6.1,NA,4.5.1
readr,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.1.5,NA,4.5.1
readxl,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.4.5,NA,4.5.1
reformulas,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.4.1,NA,4.5.1
rematch,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.0.0,NA,4.5.1
rematch2,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.1.2,NA,4.5.1
repr,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.1.7,NA,4.5.1
reprex,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.1.1,NA,4.5.1
rlang,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.1.6,NA,4.5.1
rmarkdown,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.29,NA,4.5.1
rpart,C:/Program Files/R/R-4.5.1/library,4.1.24,recommended,4.5.1
rprojroot,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.1.0,NA,4.5.1
rstudioapi,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.17.1,NA,4.5.1
rvest,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.0.5,NA,4.5.1
S7,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.2.0,NA,4.5.1
sandwich,C:/Users/jesus/AppData/Local/R/win-library/4.5,3.1-1,NA,4.5.1
sass,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.4.10,NA,4.5.1
scales,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.4.0,NA,4.5.1
selectr,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.4-2,NA,4.5.1
sessioninfo,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2.3,NA,4.5.1
shiny,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.11.1,NA,4.5.1
skimr,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.2.1,NA,4.5.1
snakecase,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.11.1,NA,4.5.1
sourcetools,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.1.7-1,NA,4.5.1
sp,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.2-0,NA,4.5.1
SparseM,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.84-2,NA,4.5.1
spatial,C:/Program Files/R/R-4.5.1/library,7.3-18,recommended,4.5.1
splines,C:/Program Files/R/R-4.5.1/library,4.5.1,base,4.5.1
stats,C:/Program Files/R/R-4.5.1/library,4.5.1,base,4.5.1
stats4,C:/Program Files/R/R-4.5.1/library,4.5.1,base,4.5.1
stringi,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.8.7,NA,4.5.0
stringr,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.5.1,NA,4.5.1
strucchange,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.5-4,NA,4.5.1
survival,C:/Program Files/R/R-4.5.1/library,3.8-3,recommended,4.5.1
svglite,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.2.1,NA,4.5.1
sys,C:/Users/jesus/AppData/Local/R/win-library/4.5,3.4.3,NA,4.5.1
systemfonts,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2.3,NA,4.5.1
tables,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.9.31,NA,4.5.1
tcltk,C:/Program Files/R/R-4.5.1/library,4.5.1,base,4.5.1
terra,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.8-60,NA,4.5.1
textshaping,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.0.1,NA,4.5.1
tibble,C:/Users/jesus/AppData/Local/R/win-library/4.5,3.3.0,NA,4.5.1
